RFP_ID,Status,Account_Name,Event_Name,Event_Type,Event_Format,Event_Configuration,Market_Segment,Organization_Industry,Lead_Source,Client_Priority,Inquiry_Date,Decision_Date,Decision_Days,Arrival_Date,Departure_Date,Nights,Lead_Time,Peak_Room_Block,Total_Room_Nights_Requested,Attendees,Has_Meeting_Space,Meeting_Spaces,Has_FnB_Requirements,Has_Special_Requirements,Response_Due_Days,Budget_Provided,Budget_Amount,Destinations_Considered,Forecasted_Occupancy,Baseline_ADR,Quoted_ADR,Proposed_Room_Revenue,Proposed_Meeting_Revenue,Proposed_FnB_Revenue,Proposed_Total_Revenue,Actual_Room_Nights,Actual_Room_Revenue,Actual_Meeting_Revenue,Actual_FnB_Revenue,Actual_Total_Revenue,Actual_Pickup_Rate,Actual_FnB_Per_Person,Lost_Reason,Year,Month,Num_Room_Types,Pct_Standard_Rooms,Pct_Premium_Rooms,Has_Suites,Rate_Spread,Min_Room_Rate,Max_Room_Rate,Suite_Rate,Standard_Rate,Peak_Night_Index,Night_Variance_Pct,Rooms_Night_1,Rooms_Night_2,Rooms_Night_3,Rooms_Night_4,Num_Meeting_Rooms,Num_Sessions,Num_Meeting_Days,Total_Meeting_Hours,Uses_Ballroom,Uses_Boardroom,Num_Setup_Styles,Primary_Setup,Max_AV_Level,Has_Premium_AV,Avg_AV_Level,Total_Room_Rental,Total_AV_Cost,Total_Session_FnB,Total_Meeting_Cost,Num_FnB_Types,Has_Dinner,Has_Reception,Has_Evening_Session,Full_Day_Pct,Avg_Room_Utilization
L-202301-84668,Lost,Financial Services Group,Innovation Workshop,Corporate,In-person,Full Package,Technology,Technology,Referral,High,2022-10-25,2022-11-13,9,2023-01-04,2023-01-06,2,71,21,42,26,1,Breakout Room,1,0,10,0.0,0.0,4,48.5,154.33,143.06,5998.78,4402.21,4709.07,15110.06,0,0.0,0.0,0.0,0.0,,0.0,Rates Too High / Client Declined,2023,1,3,52.6,47.4,1,99.61,189.36,288.97,223.64,223.64,2,38.1,13,21,0,0,1,4,2,16,0,0,1,Classroom,2,0,2.09,567.86,312,6552,7269.2,3,0,0,0,100.0,0.65
L-202301-83792,Lost,Global Industries,Town Hall Meeting,Corporate,In-person,Full Package,Government,Government,Website,Low,2022-12-06,2022-12-20,7,2023-01-15,2023-01-17,2,40,56,112,62,1,Half Ballroom,1,0,7,1.0,75166.31,1,46.5,142.66,148.84,17549.73,5268.61,9982.29,32800.63,0,0.0,0.0,0.0,0.0,,0.0,Dates Not Available,2023,1,3,55.1,44.9,0,133.5,138.18,271.68,0.0,138.18,2,3.6,54,56,0,0,1,1,1,8,1,0,1,Classroom,1,0,0.95,1369.73,604,2976,5734.58,4,0,0,0,100.0,0.52
L-202301-11504,Lost,Retail Corporation,Product Launch Event,Corporate,Hybrid,Full Package,Legal,Legal,Website,Low,2022-11-07,2022-12-03,12,2023-01-18,2023-01-19,1,72,51,51,66,1,Half Ballroom,1,1,14,0.0,0.0,1,48.0,145.13,142.81,8247.72,2994.42,5661.01,16903.15,0,0.0,0.0,0.0,0.0,,0.0,Space Not Adequate,2023,1,2,70.5,29.5,0,141.18,136.29,277.47,0.0,136.29,1,0.0,51,0,0,0,1,4,2,16,1,0,1,Banquet,3,1,2.71,1094.93,888,0,1916.76,0,0,0,0,0.0,0.55
L-202301-82132,Lost,Professional Engineers Society,Industry Forum,Association,Hybrid,Full Package,Other,Other,Sales Call,Low,2022-04-27,2022-06-01,25,2023-01-26,2023-01-28,2,274,41,82,45,1,Half Ballroom,1,1,10,1.0,34493.76,2,49.6,148.11,139.44,12072.5,3793.82,8860.85,24727.17,0,0.0,0.0,0.0,0.0,,0.0,Rates Too High / Client Declined,2023,1,4,55.8,44.2,1,159.36,125.03,284.39,197.4,125.03,2,14.6,35,41,0,0,1,2,2,16,1,0,1,Theater,0,0,0.32,853.36,0,5176,7570.82,4,0,0,0,100.0,0.38
L-202301-27601,Lost,Personal Event,Holiday Party,Wedding/Social,In-person,Full Package,Other,Other,Cvent,High,2022-08-24,2022-09-23,17,2023-01-30,2023-02-02,3,159,31,93,35,1,Breakout Room,1,0,13,0.0,0.0,1,44.2,142.2,140.75,14397.74,8177.16,14292.87,36867.77,0,0.0,0.0,0.0,0.0,,0.0,Chose Another Venue,2023,1,2,60.8,39.2,1,127.25,127.62,254.87,254.87,127.62,2,16.1,23,31,19,0,1,1,2,8,0,0,1,Banquet,3,1,2.65,360.22,119,1206,3592.53,2,0,0,0,100.0,0.88
L-202301-31299,Lost,Private Party,Bar/Bat Mitzvah,Wedding/Social,In-person,Full Package,Social,Social/Private,Sales Call,Low,2022-06-16,2022-07-28,32,2023-01-30,2023-01-31,1,228,33,33,45,1,Half Ballroom,1,1,10,1.0,23596.02,3,49.8,157.83,159.58,5359.12,3134.97,6079.43,14573.52,0,0.0,0.0,0.0,0.0,,0.0,Rates Too High / Client Declined,2023,1,3,58.1,41.9,1,100.94,150.27,251.21,251.21,251.21,1,0.0,33,0,0,0,1,8,3,36,1,0,1,Banquet,2,0,2.21,1175.5,917,11000,13820.87,5,1,1,1,100.0,0.38
L-202302-44675,Lost,Manufacturing Alliance,Board of Directors Meeting,Corporate,In-person,Meeting Only,Healthcare,Healthcare,Cvent,Medium,2022-12-19,2023-01-09,13,2023-02-03,2023-02-05,2,46,0,0,109,1,Half Ballroom,1,0,8,0.0,0.0,4,56.1,152.19,0.0,0.0,7114.69,19518.77,26633.46,0,0.0,0.0,0.0,0.0,,0.0,Dates Not Available,2023,2,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,2,1,2,16,1,0,1,Theater,2,0,1.59,1587.4,1390,360,2303.39,1,0,0,0,0.0,0.91
L-202302-62488,Lost,Banking Consortium,Regional Team Meeting,Corporate,In-person,Meeting Only,Finance,Finance,Direct Inquiry,Medium,2022-11-05,2022-11-25,13,2023-02-10,2023-02-12,2,97,0,0,29,1,Breakout Room,0,0,7,0.0,0.0,2,53.5,154.84,0.0,0.0,4526.78,4356.84,8883.62,0,0.0,0.0,0.0,0.0,,0.0,Budget Constraints,2023,2,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,1,3,3,24,0,0,1,Theater,3,1,2.66,483.26,884,6012,8311.45,3,0,0,0,100.0,0.72
L-202302-35995,Lost,HR Professionals Network,Networking Summit,Association,In-person,Full Package,Healthcare,Healthcare,Cvent,Low,2022-03-06,2022-03-31,17,2023-02-13,2023-02-15,2,344,59,118,75,1,Half Ballroom,1,1,8,0.0,0.0,1,54.3,148.68,146.32,18198.29,4577.18,12077.26,34852.73,0,0.0,0.0,0.0,0.0,,0.0,Dates Not Available,2023,2,4,55.9,44.1,1,96.3,125.45,221.75,221.75,125.45,2,0.0,59,59,0,0,1,2,2,16,1,0,1,Banquet,2,0,1.66,896.03,676,3270,5759.99,5,1,0,1,0.0,0.62
L-202302-82140,Lost,Retail Corporation,Product Launch Event,Corporate,Hybrid,Full Package,Technology,Technology,Sales Call,Medium,2022-11-27,2022-12-15,8,2023-02-14,2023-02-17,3,79,21,63,25,1,Breakout Room,1,0,10,1.0,36906.7,1,54.1,153.2,151.3,10526.32,6713.44,6615.03,23854.79,0,0.0,0.0,0.0,0.0,,0.0,Budget Constraints,2023,2,2,53.4,46.6,1,27.65,241.36,269.01,241.36,269.01,2,21.4,20,21,11,0,1,2,2,16,0,0,1,Classroom,0,0,0.25,481.38,0,0,732.15,0,0,0,0,50.0,0.62
