RFP_ID,Num_Meeting_Rooms,Num_Sessions,Num_Meeting_Days,Total_Meeting_Hours,Uses_Ballroom,Uses_Boardroom,Num_Setup_Styles,Primary_Setup,Max_AV_Level,Has_Premium_AV,Avg_AV_Level,Total_Room_Rental,Total_AV_Cost,Total_Session_FnB,Total_Meeting_Cost,Num_FnB_Types,Has_Dinner,Has_Reception,Has_Evening_Session,Full_Day_Pct,Avg_Room_Utilization
B-202301-62227,2,4,1,16,1,0,1,Theater,2,0,1.25,1444.6,850,240,2426.73,1,0,0,0,0.0,0.72
B-202301-54473,1,6,3,36,1,0,1,Classroom,3,1,1.83,1071.84,2000,6340,11079.97,5,0,0,0,50.0,0.92
B-202301-75909,2,8,3,36,1,0,1,Classroom,3,1,1.88,1423.1,2700,6012,11594.45,5,0,0,0,12.5,0.68
B-202301-24371,2,2,2,16,1,0,1,Theater,1,0,1.0,1392.67,300,2800,4231.75,5,0,0,0,100.0,0.6
L-202301-84668,1,4,2,16,0,0,1,Classroom,2,0,2.09,567.86,312,6552,7269.2,3,0,0,0,100.0,0.65
B-202301-31174,2,6,3,36,1,0,1,Theater,3,1,2.17,1677.51,2500,5552,10825.17,5,0,0,0,50.0,0.68
B-202301-98696,0,0,0,0,0,0,0,,0,0,0.0,0.0,0,0,0.0,0,0,0,0,0.0,0.0
B-202301-13478,1,5,2,24,1,0,1,Theater,2,0,1.8,1321.36,1550,4494,7996.83,5,0,0,0,20.0,0.69
B-202301-14117,1,2,2,16,0,0,1,Classroom,2,0,2.0,351.69,700,4420,7092.61,3,0,0,0,100.0,0.85
B-202301-63354,2,2,2,16,1,0,1,Classroom,2,0,1.5,1853.97,500,2840,4513.27,4,0,0,0,100.0,0.6
B-202301-84364,1,3,3,24,1,0,1,Banquet,2,0,1.33,1384.39,650,4080,6507.65,5,0,0,0,100.0,0.47
B-202301-24168,1,2,2,16,1,0,1,Classroom,3,1,3.0,2243.7,1300,25110,31243.84,4,0,0,0,100.0,0.65
B-202301-84341,1,1,1,8,1,0,1,Classroom,2,0,2.0,1246.56,350,1248,2257.06,3,0,0,0,100.0,0.38
B-202301-89507,1,1,1,4,0,0,1,Reception,2,0,2.0,528.97,350,1485,2469.24,1,1,0,1,0.0,0.68
B-202301-67433,1,6,2,24,1,0,1,Theater,3,1,2.33,1258.37,2800,4712,9571.24,5,0,0,0,0.0,0.96
B-202301-97841,1,2,1,8,1,0,1,Classroom,1,0,1.0,1301.76,300,940,1944.12,2,0,0,0,0.0,0.36
B-202301-93886,1,1,1,4,1,0,1,Banquet,0,0,0.0,1318.29,0,1320,1670.75,1,1,0,1,0.0,0.34
B-202301-38016,1,1,1,4,0,0,1,Banquet,0,0,0.0,581.88,0,0,657.41,0,0,0,0,0.0,0.42
B-202301-82845,1,6,2,24,1,0,1,Theater,3,1,2.0,1238.61,2300,2940,7282.62,4,0,0,0,0.0,0.73
B-202301-44522,1,2,1,8,1,0,1,Banquet,1,0,1.0,1112.35,300,1320,2315.84,1,1,0,1,0.0,0.49
L-202301-83792,1,1,1,8,1,0,1,Classroom,1,0,0.95,1369.73,604,2976,5734.58,4,0,0,0,100.0,0.52
B-202301-19862,1,2,2,16,1,0,1,Banquet,2,0,2.0,1055.65,700,2568,4377.37,4,0,0,0,100.0,0.5
L-202301-11504,1,4,2,16,1,0,1,Banquet,3,1,2.71,1094.93,888,0,1916.76,0,0,0,0,0.0,0.55
B-202301-46265,1,5,2,24,1,0,1,Classroom,2,0,1.6,1152.53,1350,4440,7795.11,5,0,0,0,20.0,0.76
B-202301-46421,1,1,1,8,1,0,1,Classroom,3,1,3.0,1350.92,650,1248,2442.24,3,0,0,0,100.0,0.34
B-202301-93130,0,0,0,0,0,0,0,,0,0,0.0,0.0,0,0,0.0,0,0,0,0,0.0,0.0
B-202301-96673,1,2,2,16,0,0,1,Classroom,2,0,1.5,520.38,500,4712,7352.36,5,0,0,0,100.0,0.78
B-202301-86484,0,0,0,0,0,0,0,,0,0,0.0,0.0,0,0,0.0,0,0,0,0,0.0,0.0
B-202301-70217,1,2,2,16,0,0,1,Theater,2,0,2.0,473.65,700,1819,4451.02,4,0,0,0,100.0,0.42
L-202301-82132,1,2,2,16,1,0,1,Theater,0,0,0.32,853.36,0,5176,7570.82,4,0,0,0,100.0,0.38
B-202301-25860,1,2,1,8,0,1,1,Boardroom,2,0,1.0,398.69,350,540,2086.71,1,0,1,1,0.0,0.86
B-202301-99399,0,0,0,0,0,0,0,,0,0,0.0,0.0,0,0,0.0,0,0,0,0,0.0,0.0
B-202301-97782,2,3,3,24,1,0,1,Classroom,2,0,2.0,2009.0,1050,25608,34207.34,5,0,0,0,100.0,0.55
L-202301-27601,1,1,2,8,0,0,1,Banquet,3,1,2.65,360.22,119,1206,3592.53,2,0,0,0,100.0,0.88
L-202301-31299,1,8,3,36,1,0,1,Banquet,2,0,2.21,1175.5,917,11000,13820.87,5,1,1,1,100.0,0.38
B-202301-44237,1,3,3,24,0,0,1,Classroom,2,0,2.0,564.6,1050,4988,9212.45,4,0,0,0,100.0,0.72
B-202302-16826,1,2,1,8,0,0,1,Banquet,2,0,1.5,569.26,500,1155,2900.17,1,1,0,1,0.0,0.53
B-202302-40784,1,2,1,8,0,1,1,Boardroom,2,0,1.5,300.75,500,540,2226.56,1,0,1,1,0.0,0.86
B-202302-53369,2,2,1,12,1,0,1,Theater,2,0,1.5,1578.53,500,1848,3181.25,4,0,0,0,50.0,0.7
L-202302-44675,2,1,2,16,1,0,1,Theater,2,0,1.59,1587.4,1390,360,2303.39,1,0,0,0,0.0,0.91
B-202302-57472,1,3,1,12,1,0,1,Theater,3,1,2.0,1159.15,1150,2406,4638.09,3,0,0,0,0.0,0.78
B-202302-64548,1,3,3,24,1,0,1,Classroom,2,0,1.67,1364.52,850,5688,8397.04,4,0,0,0,100.0,0.51
B-202302-69048,0,0,0,0,0,0,0,,0,0,0.0,0.0,0,0,0.0,0,0,0,0,0.0,0.0
B-202302-47752,2,3,3,24,1,0,1,Theater,3,1,2.67,2872.58,1650,22984,32190.95,5,0,0,0,100.0,0.57
B-202302-74722,1,2,1,8,0,0,1,Theater,1,0,1.0,470.88,300,1551,3008.7,2,0,0,0,0.0,0.82
L-202302-62488,1,3,3,24,0,0,1,Theater,3,1,2.66,483.26,884,6012,8311.45,3,0,0,0,100.0,0.72
B-202302-80236,1,2,2,16,1,0,1,Theater,1,0,1.0,1296.11,300,2808,4372.62,5,0,0,0,100.0,0.34
B-202302-80798,0,0,0,0,0,0,0,,0,0,0.0,0.0,0,0,0.0,0,0,0,0,0.0,0.0
B-202302-97062,2,1,1,8,1,0,1,Classroom,2,0,2.0,1521.07,350,1560,2512.17,3,0,0,0,100.0,0.51
B-202302-82667,1,4,2,16,0,0,1,Theater,2,0,1.75,572.47,1200,1180,4871.14,2,0,0,0,0.0,0.5
B-202302-96900,1,1,1,8,0,0,1,Classroom,2,0,2.0,435.55,350,3045,4428.78,4,0,0,0,100.0,0.88
L-202302-35995,1,2,2,16,1,0,1,Banquet,2,0,1.66,896.03,676,3270,5759.99,5,1,0,1,0.0,0.62
L-202302-82140,1,2,2,16,0,0,1,Classroom,0,0,0.25,481.38,0,0,732.15,0,0,0,0,50.0,0.62
L-202302-85454,2,2,1,8,1,0,1,Classroom,2,0,1.72,1548.59,216,1728,4033.01,2,0,0,0,100.0,0.51
B-202302-42406,1,2,1,8,0,0,1,Classroom,2,0,2.0,510.05,700,432,2291.43,1,0,0,0,0.0,0.97
