RFP_ID,Status,Account_Name,Event_Name,Event_Type,Event_Format,Event_Configuration,Market_Segment,Organization_Industry,Lead_Source,Client_Priority,Inquiry_Date,Decision_Date,Decision_Days,Arrival_Date,Departure_Date,Nights,Lead_Time,Peak_Room_Block,Total_Room_Nights_Requested,Attendees,Has_Meeting_Space,Meeting_Spaces,Has_FnB_Requirements,Has_Special_Requirements,Response_Due_Days,Budget_Provided,Budget_Amount,Destinations_Considered,Forecasted_Occupancy,Baseline_ADR,Quoted_ADR,Proposed_Room_Revenue,Proposed_Meeting_Revenue,Proposed_FnB_Revenue,Proposed_Total_Revenue,Actual_Room_Nights,Actual_Room_Revenue,Actual_Meeting_Revenue,Actual_FnB_Revenue,Actual_Total_Revenue,Actual_Pickup_Rate,Actual_FnB_Per_Person,Lost_Reason,Year,Month,Num_Room_Types,Pct_Standard_Rooms,Pct_Premium_Rooms,Has_Suites,Rate_Spread,Min_Room_Rate,Max_Room_Rate,Suite_Rate,Standard_Rate,Peak_Night_Index,Night_Variance_Pct,Rooms_Night_1,Rooms_Night_2,Rooms_Night_3,Rooms_Night_4,Num_Meeting_Rooms,Num_Sessions,Num_Meeting_Days,Total_Meeting_Hours,Uses_Ballroom,Uses_Boardroom,Num_Setup_Styles,Primary_Setup,Max_AV_Level,Has_Premium_AV,Avg_AV_Level,Total_Room_Rental,Total_AV_Cost,Total_Session_FnB,Total_Meeting_Cost,Num_FnB_Types,Has_Dinner,Has_Reception,Has_Evening_Session,Full_Day_Pct,Avg_Room_Utilization
B-10000,Booked,Ohio Medical Association,Member Education Symposium,Association,In-person,Full Package,Healthcare,Government,Repeat Client,High,2026-01-24,2026-02-12,15,2026-04-13,2026-04-16,3,79,90,218,172,1,Breakout Room,1,1,16,0,0.0,2,0.73,200.26,175,38150,5001.1,38568.99,81720.09,177,30975,5080.52,38011.9,74067.42,0.82,74.75,,2026,4,3,56.7,43.3,0,94.82,148.75,201.25,271.25,175,1,8.0,72,74,69,0,1,3,3,16,0,0,2,Boardroom,2,1,2.69,4264.87,736.23,11570.7,5001.1,1,0,0,1,40.1,0.58
B-10001,Booked,Ohio Dental Association,Member Education Symposium,Association,Virtual,Rooms Only,Healthcare,Government,Third-Party Planner,Low,2025-11-09,2025-12-05,9,2026-05-04,2026-05-07,3,176,110,262,225,1,Boardroom,1,1,17,1,243637.24,1,0.84,198.68,168,44016,8558.76,61825.02,114399.78,229,38472,8008.32,60283.09,106763.41,0.87,91.59,,2026,5,3,68.0,32.0,1,109.17,142.8,193.2,260.4,168,2,1.7,85,83,85,0,4,5,3,16,0,0,3,Reception,3,0,2.02,7200.24,1358.52,18547.5,8558.76,1,1,0,0,37.4,0.61
B-10002,Booked,WP Engine Corporate Events,Staff Development Program,Corporate,Hybrid,Rooms Only,Technology,Finance,Third-Party Planner,Medium,2025-12-10,2026-01-08,16,2026-05-18,2026-05-21,3,159,75,165,157,1,Breakout Room,1,1,16,1,129326.95,2,0.84,186.47,192,31680,5042.59,20720.99,57443.58,131,25152,4356.0,21304.92,50812.93,0.8,43.99,,2026,5,1,51.6,48.4,0,92.95,163.2,220.8,297.6,192,1,8.8,72,64,60,0,2,2,3,10,0,1,1,U-Shape,2,0,2.81,2886.57,2156.02,6216.3,5042.59,3,0,0,1,66.9,0.64
B-10003,Booked,Nationwide Insurance Training,QNationwide Sales Kickoff,Corporate,In-person,Meeting + F&B,Finance,Healthcare,Direct Inquiry,Medium,2026-03-24,2026-04-14,14,2026-06-08,2026-06-11,3,76,65,170,133,1,Boardroom,1,0,19,0,0.0,5,0.7,171.6,179,30430,9186.61,31710.83,71327.44,134,23986,9148.17,31774.55,64908.71,0.79,79.48,,2026,6,1,74.2,25.8,0,54.97,152.15,205.85,277.45,179,2,7.2,51,57,51,0,4,8,3,31,0,1,1,Classroom,4,0,2.97,7998.89,1187.72,9513.25,9186.61,3,1,1,1,69.7,0.84
B-10004,Booked,CoverMyMeds Staff Programs,Staff Development Program,Corporate,Virtual,Full Package,Technology,Healthcare,Third-Party Planner,High,2026-01-13,2026-02-07,26,2026-06-22,2026-06-24,2,160,45,89,83,1,Multi-Room,1,0,7,1,154349.92,3,0.68,180.78,185,16465,3151.5,14574.68,34191.18,80,14800,2778.0,15860.66,33438.66,0.91,87.8,,2026,6,2,55.1,44.9,1,61.48,157.25,212.75,286.75,185,2,2.0,38,44,0,0,1,7,2,25,0,0,1,Classroom,1,1,2.24,2894.33,257.17,4372.4,3151.5,5,0,0,0,50.6,0.6
B-10005,Booked,SHRM Columbus Chapter,Regional Chapter Meeting,Association,Virtual,Full Package,Professional Services,Finance,RFP,High,2026-03-31,2026-04-28,27,2026-07-13,2026-07-16,3,104,55,133,113,1,Multi-Room,1,1,21,1,0.0,1,0.72,182.55,162,21546,14868.84,12143.46,48558.3,119,19278,13528.8,12131.52,44938.32,0.9,35.82,,2026,7,1,65.9,34.1,1,43.97,137.7,186.3,251.1,162,2,11.6,43,45,44,0,3,7,3,22,0,0,2,U-Shape,4,0,1.22,11307.14,3561.7,3643.04,14868.84,2,0,1,0,43.0,0.57
B-10006,Booked,Vertex Pharmaceuticals,Regional Manager Training,Corporate,Hybrid,Meeting + F&B,Pharmaceutical,Finance,Referral,High,2026-04-19,2026-05-18,10,2026-08-03,2026-08-05,2,106,40,61,78,1,Full Ballroom,1,1,6,1,0.0,4,0.72,187.98,188,11468,12205.38,15626.44,39299.82,42,7896,12644.48,16554.36,37094.84,0.7,100.17,,2026,8,2,57.6,42.4,0,60.06,159.8,216.2,291.4,188,1,6.0,38,38,0,0,3,4,2,10,1,1,2,Boardroom,3,1,2.36,8952.98,3252.4,4687.93,12205.38,5,1,0,0,87.7,0.65
B-10007,Booked,American Bankers Conference,Regional Chapter Meeting,Association,Hybrid,Rooms Only,Finance,Manufacturing,Website,Medium,2026-05-03,2026-06-02,16,2026-09-14,2026-09-17,3,134,95,208,125,1,Breakout Room,1,1,18,1,0.0,3,0.87,186.85,195,40560,17830.0,35828.15,94218.16,151,29445,17683.03,28680.7,75808.73,0.73,95.54,,2026,9,3,53.2,46.8,1,99.84,165.75,224.25,302.25,195,2,10.2,72,87,79,0,4,3,3,25,0,0,1,Reception,3,1,1.42,14984.31,2845.69,10748.45,17830.0,5,1,1,1,44.2,0.64
B-10008,Booked,Verizon Enterprise Team,Strategic Planning Retreat,Corporate,Hybrid,Full Package,Technology,Technology,Third-Party Planner,Low,2026-05-31,2026-06-19,14,2026-09-28,2026-10-01,3,120,80,188,172,1,Multi-Room,0,0,5,0,78145.05,5,0.85,198.97,198,37224,8232.68,0,45456.68,139,27522,8325.81,0.0,35847.81,0.74,0,,2026,9,2,51.3,48.7,0,122.57,168.3,227.7,306.9,198,1,6.8,77,71,74,0,3,8,3,35,0,0,3,Reception,3,1,2.23,4776.68,3456.0,0.0,8232.68,0,1,1,0,74.4,0.74
B-10009,Booked,IEEE Central Ohio,Member Education Symposium,Association,In-person,Rooms Only,Technology,Legal,Referral,Medium,2026-07-04,2026-07-23,25,2026-10-05,2026-10-08,3,93,100,234,200,1,Boardroom,1,0,17,1,0.0,3,0.84,188.31,182,42588,5261.59,38118.05,85967.64,174,31668,5040.76,32076.81,68785.57,0.75,63.53,,2026,10,2,68.8,31.2,1,88.44,154.7,209.3,282.1,182,3,8.2,85,88,85,0,2,6,3,20,0,0,2,Reception,4,1,1.06,4706.62,554.97,11435.42,5261.59,3,1,0,1,92.0,0.94
B-10010,Booked,Cardinal Health Learning Center,Regional Manager Training,Corporate,Hybrid,Day Meeting Only,Healthcare,Professional Services,RFP,Medium,2026-06-13,2026-07-10,9,2026-10-19,2026-10-22,3,128,70,187,103,0,,0,0,5,0,0.0,1,0.72,198.28,187,34969,0,0,34969,142,26554,0.0,0.0,26554.0,0.76,0,,2026,10,3,53.8,46.2,0,82.62,158.95,215.05,289.85,187,1,8.5,60,65,53,0,0,0,0,0,0,0,3,Theater,3,1,1.34,0.0,0,0.0,0,0,0,0,1,10.8,0.56
B-10011,Booked,Ohio State Bar Foundation,Annual Conference,Association,Virtual,Meeting + F&B,Legal,Healthcare,Repeat Client,Medium,2026-07-26,2026-08-17,10,2026-11-02,2026-11-05,3,99,85,207,177,1,Half Ballroom,0,1,16,1,125807.17,5,0.81,199.26,172,35604,4717.38,0,40321.38,177,30444,4294.31,0.0,34738.31,0.86,0,,2026,11,3,56.8,43.2,1,81.84,146.2,197.8,266.6,172,3,8.9,77,65,77,0,1,4,3,21,1,1,1,Reception,3,1,1.49,3686.81,1030.57,0.0,4717.38,0,1,1,1,2.9,0.89
B-10012,Booked,AAA Ohio Corp Training,QAAA Sales Kickoff,Corporate,In-person,Day Meeting Only,Finance,Pharmaceutical,Website,Medium,2026-08-25,2026-09-22,25,2026-11-16,2026-11-18,2,83,50,87,71,1,Multi-Room,0,1,20,1,0.0,5,0.8,199.66,169,14703,2637.61,0,17340.61,67,11323,2534.84,0.0,13857.84,0.77,0,,2026,11,2,58.8,41.2,1,64.38,143.65,194.35,261.95,169,2,3.5,41,42,0,0,1,7,2,18,0,0,3,Theater,2,0,1.43,2246.56,391.06,0.0,2637.61,0,1,1,1,98.1,0.88
B-10013,Booked,Charitable Arts Foundation,Awards Banquet,SMERF,In-person,Meeting + F&B,Government,Education,Referral,Medium,2026-09-01,2026-09-20,22,2026-12-07,2026-12-09,2,97,35,49,42,1,Breakout Room,1,0,6,0,0.0,5,0.57,166.47,155,7595,4281.38,4053.79,15930.17,44,6820,4059.51,4304.37,15183.88,0.91,48.26,,2026,12,2,52.1,47.9,0,50.66,131.75,178.25,240.25,155,2,9.1,28,33,0,0,1,8,2,20,0,1,2,Theater,4,1,1.59,3528.03,753.36,1216.14,4281.38,5,1,1,0,61.0,0.85
B-10014,Booked,Midwestern Financial Group,Staff Development Program,Corporate,Virtual,Meeting + F&B,Finance,Pharmaceutical,Direct Inquiry,Medium,2026-08-08,2026-09-04,11,2027-01-12,2027-01-15,3,157,65,146,81,0,,1,1,9,0,0.0,3,0.56,157.5,162,23652,0,23656.09,47308.09,107,17334,0.0,23942.02,41276.02,0.74,97.35,,2027,1,3,68.7,31.3,1,79.52,137.7,186.3,251.1,162,2,10.3,59,63,55,0,0,0,0,0,0,0,2,U-Shape,4,1,1.16,0.0,0,7096.83,0,1,1,1,1,2.6,0.64
B-10015,Booked,Public Health Professionals Assoc,Professional Development Forum,Association,Hybrid,Day Meeting Only,Healthcare,Pharmaceutical,Direct Inquiry,Medium,2026-09-08,2026-10-06,19,2027-02-01,2027-02-04,3,146,75,221,126,1,Breakout Room,1,0,19,0,0.0,3,0.64,156.04,168,37128,4780.25,30782.09,72690.33,162,27216,5016.34,28650.9,60883.24,0.73,81.43,,2027,2,1,74.3,25.7,1,117.84,142.8,193.2,260.4,168,1,9.9,68,72,62,0,1,6,3,35,0,0,1,Banquet,3,1,2.25,4405.06,375.19,9234.63,4780.25,1,0,1,0,92.8,0.73
B-10016,Booked,Columbus Education Cooperative,Awards Gala,Association,Hybrid,Day Meeting Only,Education,Education,Repeat Client,Medium,2026-10-10,2026-10-19,15,2027-03-08,2027-03-11,3,149,90,246,93,1,Full Ballroom,1,1,15,1,92224.58,3,0.77,184.19,172,42312,11134.94,23283.12,76730.06,168,28896,11317.88,22107.61,62321.49,0.69,83.45,,2027,3,3,64.5,35.5,1,117.87,146.2,197.8,266.6,172,2,8.1,72,79,76,0,4,4,3,27,1,0,3,Reception,4,1,2.87,6365.91,4769.03,6984.93,11134.94,2,0,1,0,85.6,0.71
B-10017,Booked,Ohio Medical Association,Awards Gala,Association,Virtual,Day Meeting Only,Healthcare,Pharmaceutical,Direct Inquiry,Medium,2027-01-04,2027-01-31,9,2027-04-14,2027-04-17,3,100,100,283,184,1,Half Ballroom,1,1,17,1,225236.51,4,0.81,183.55,185,52355,22314.04,38562.41,113231.45,192,35520,22738.18,32003.47,90261.65,0.68,69.86,,2027,4,3,50.9,49.1,0,61.13,157.25,212.75,286.75,185,3,13.8,76,94,81,0,4,3,3,11,1,0,1,Classroom,1,1,1.33,21009.05,1304.99,11568.72,22314.04,3,0,0,1,79.6,0.67
