RFP_ID,Status,Account_Name,Event_Name,Event_Type,Event_Format,Event_Configuration,Market_Segment,Organization_Industry,Lead_Source,Client_Priority,Inquiry_Date,Decision_Date,Decision_Days,Arrival_Date,Departure_Date,Nights,Lead_Time,Peak_Room_Block,Total_Room_Nights_Requested,Attendees,Has_Meeting_Space,Meeting_Spaces,Has_FnB_Requirements,Has_Special_Requirements,Response_Due_Days,Budget_Provided,Budget_Amount,Destinations_Considered,Forecasted_Occupancy,Baseline_ADR,Quoted_ADR,Proposed_Room_Revenue,Proposed_Meeting_Revenue,Proposed_FnB_Revenue,Proposed_Total_Revenue,Actual_Room_Nights,Actual_Room_Revenue,Actual_Meeting_Revenue,Actual_FnB_Revenue,Actual_Total_Revenue,Actual_Pickup_Rate,Actual_FnB_Per_Person,Lost_Reason,Year,Month,Num_Room_Types,Pct_Standard_Rooms,Pct_Premium_Rooms,Has_Suites,Rate_Spread,Min_Room_Rate,Max_Room_Rate,Suite_Rate,Standard_Rate,Peak_Night_Index,Night_Variance_Pct,Rooms_Night_1,Rooms_Night_2,Rooms_Night_3,Rooms_Night_4,Num_Meeting_Rooms,Num_Sessions,Num_Meeting_Days,Total_Meeting_Hours,Uses_Ballroom,Uses_Boardroom,Num_Setup_Styles,Primary_Setup,Max_AV_Level,Has_Premium_AV,Avg_AV_Level,Total_Room_Rental,Total_AV_Cost,Total_Session_FnB,Total_Meeting_Cost,Num_FnB_Types,Has_Dinner,Has_Reception,Has_Evening_Session,Full_Day_Pct,Avg_Room_Utilization,Description,Feasibility_Status,Conflict_Room_Dates,Conflict_Space_Dates,Rooms_Available_On_Peak,Displacement_Total_Est,Net_Revenue_Value,Win_Probability,Expected_Value,Response_Due_Date,Days_To_Respond,Urgency,Season_Quality,Rank_Score,Rank_Rationale,Rank
N-10205,Pending,WP Engine Corporate Events,WP Annual Leadership Summit,Corporate,Hybrid,Rooms Only,Technology,Education,Repeat Client,High,2026-04-15,2026-05-09,23,2027-05-19,2027-05-22,3,399,90,238,136,1,Half Ballroom,1,0,8,0,0.0,2,0.81,188.19,174.8,41602.79,22168.49,55477.16,119248.44,0,0.0,0.0,0.0,0.0,0.0,0.0,,2027,5,1,56.6,43.4,0,60.97,148.58,201.02,270.94,174.8,2,1.4,74,72,86,0,4,5,3,19,1,1,3,Theater,3,1,1.35,17663.9,4504.59,16643.15,22168.49,5,0,1,0,73.1,0.78,"Tech company repeat, spring",Clear,,,135,18500.16,100748.28,0.95,95710.86,2026-04-23,2,Critical,Spring,51.62,"Tech company repeat, spring",1
N-10086,Pending,Midwest Sales Leaders Forum,Member Education Symposium,Association,Virtual,Meeting + F&B,Finance,Manufacturing,RFP,High,2026-04-13,2026-05-07,24,2026-09-21,2026-09-24,3,161,130,382,155,0,,1,1,7,1,0.0,2,0.76,200.48,178.42,68156.34,0,54049.0,122205.34,0,0.0,0.0,0.0,0.0,0.0,0.0,,2026,9,3,58.3,41.7,1,66.42,151.66,205.18,276.55,178.42,3,8.0,128,114,123,0,0,0,0,0,0,0,3,Classroom,1,0,2.34,0.0,0,16214.7,0,4,0,0,0,68.3,0.68,"Fall peak - large association, multi-day",Clear,,,194,25445.3,96760.04,0.91,88490.38,2026-04-20,-1,Critical,Fall,48.26,"Fall peak - large association, multi-day",2
N-10072,Pending,Biotech Startup Summit,Awards Gala,Association,Virtual,Rooms Only,Pharmaceutical,Professional Services,Repeat Client,Medium,2026-04-14,2026-05-07,19,2026-05-11,2026-05-14,3,27,120,320,147,1,Full Ballroom,1,1,12,1,0.0,3,0.82,186.94,154.59,49469.3,15641.38,60066.29,125176.97,0,0.0,0.0,0.0,0.0,0.0,0.0,,2026,5,2,61.3,38.7,0,52.44,131.4,177.78,239.62,154.59,3,10.5,95,114,93,0,4,7,3,38,1,0,3,U-Shape,3,0,1.4,12484.12,3157.26,18019.89,15641.38,5,1,1,0,98.1,0.81,Multi-day pharma confernece with full ballroom,Clear,,,172,20456.73,104720.24,0.71,74445.11,2026-04-26,5,High,Spring,40.62,Multi-day pharma confernece with full ballroom,3
N-10240,Pending,Greater Columbus Chamber,Professional Development Forum,Association,In-person,Full Package,Professional Services,Pharmaceutical,Referral,Low,2026-04-07,2026-04-20,16,2027-04-07,2027-04-10,3,365,85,234,126,1,Breakout Room,1,1,17,1,92901.21,2,0.73,198.13,163.71,38307.42,18843.15,34076.4,91226.97,0,0.0,0.0,0.0,0.0,0.0,0.0,,2027,4,2,57.4,42.6,0,102.1,139.15,188.26,253.75,163.71,1,7.0,75,84,64,0,4,7,3,34,0,0,3,U-Shape,1,0,2.56,15073.28,3769.87,10222.92,18843.15,5,0,1,1,32.3,0.56,Chamber spring conference,Clear,,,220,19192.75,72034.22,0.73,52915.47,2026-04-24,3,High,Spring,31.07,Chamber spring conference,4
N-10191,Pending,American Bankers Conference,Awards Gala,Association,Hybrid,Day Meeting Only,Finance,Finance,Direct Inquiry,Medium,2026-04-10,2026-05-10,12,2027-11-10,2027-11-13,3,579,80,208,149,1,Boardroom,1,0,16,0,0.0,1,0.78,199.99,185.19,38519.43,8647.54,37629.11,84796.07,0,0.0,0.0,0.0,0.0,0.0,0.0,,2027,11,3,74.2,25.8,1,57.09,157.41,212.97,287.04,185.19,3,7.5,70,69,75,0,2,6,3,15,0,0,2,Banquet,4,1,1.22,7160.29,1487.24,11288.73,8647.54,5,0,0,0,17.9,0.56,Fall banking conference,Clear,,,175,12753.13,72042.94,0.65,46537.14,2026-04-26,5,High,Fall,27.77,Fall banking conference,5
N-10121,Pending,Real Estate Investors Alliance,Awards Gala,Association,Hybrid,Day Meeting Only,Finance,Education,Direct Inquiry,High,2026-04-21,2026-05-17,28,2027-04-21,2027-04-24,3,365,110,319,126,0,,1,1,10,1,161237.34,1,0.73,190.4,170.77,54475.51,0,33735.47,88210.98,0,0.0,0.0,0.0,0.0,0.0,0.0,,2027,4,1,59.5,40.5,0,49.77,145.15,196.39,264.69,170.77,1,7.8,88,93,86,0,0,0,0,0,0,0,3,Classroom,4,0,2.21,0.0,0,10120.64,0,2,1,0,0,9.3,0.81,"Spring association, strong F&B",Clear,,,220,25594.1,62616.88,0.72,45246.88,2026-05-01,10,Medium,Spring,27.55,"Spring association, strong F&B",6
N-10128,Pending,Retail CFO Council,Regional Manager Training,Corporate,Virtual,Full Package,Finance,Education,Third-Party Planner,High,2026-04-15,2026-05-03,10,2027-06-09,2027-06-12,3,420,75,210,78,1,Multi-Room,1,0,18,1,0.0,5,0.65,171.32,161.1,33831.86,3441.57,30550.8,67824.23,0,0.0,0.0,0.0,0.0,0.0,0.0,,2027,6,2,64.1,35.9,1,129.26,136.94,185.27,249.71,161.1,2,11.3,58,56,68,0,1,5,3,36,0,0,3,U-Shape,4,1,2.98,2987.06,454.52,9165.24,3441.57,5,1,1,0,85.5,0.81,"CFO summit, premium spend",Clear,,,160,10311.42,57512.81,0.71,40847.0,2026-05-03,12,Low,Summer,25.34,"CFO summit, premium spend",7
N-10093,Pending,Marathon Classic Hospitality,Regional Manager Training,Corporate,Virtual,Day Meeting Only,Professional Services,Professional Services,Direct Inquiry,High,2026-04-08,2026-04-17,9,2026-10-26,2026-10-29,3,201,95,255,153,1,Full Ballroom,1,0,10,1,156491.7,2,0.84,190.77,164.92,42053.8,3059.33,16418.3,61531.43,0,0.0,0.0,0.0,0.0,0.0,0.0,,2026,10,2,60.2,39.8,1,96.72,140.18,189.65,255.62,164.92,2,4.7,88,74,82,0,1,5,3,13,1,0,3,Theater,1,0,2.4,1903.06,1156.28,4925.49,3059.33,1,1,0,1,78.7,0.67,"Premium corporate, good F&B",Clear,,,170,14791.2,46740.23,0.74,34568.85,2026-04-18,-3,Critical,Fall,22.94,"Premium corporate, good F&B",8
N-10107,Pending,Veterans Entrepreneurs Network,Awards Banquet,SMERF,Hybrid,Full Package,Government,Pharmaceutical,Repeat Client,High,2026-04-12,2026-04-19,23,2026-11-16,2026-11-19,3,218,40,90,78,1,Half Ballroom,1,0,17,0,151350.68,5,0.81,203.38,196.02,17641.49,11686.17,16336.5,45664.16,0,0.0,0.0,0.0,0.0,0.0,0.0,,2026,11,3,61.8,38.2,0,72.92,166.61,225.42,303.83,196.02,1,13.4,38,31,37,0,4,6,3,24,1,0,3,Classroom,1,1,1.73,9448.22,2237.94,4900.95,11686.17,1,0,0,0,44.6,0.62,Veteran org - modest rates,Clear,,,170,8290.24,37373.92,0.87,32330.57,2026-04-29,8,Medium,Fall,22.69,Veteran org - modest rates,9
N-10170,Pending,Vertex Pharmaceuticals,Regional Manager Training,Corporate,Hybrid,Meeting + F&B,Pharmaceutical,Professional Services,Repeat Client,Medium,2026-04-07,2026-04-22,11,2027-09-08,2027-09-11,3,519,100,258,157,1,Boardroom,0,1,5,0,196824.56,2,0.77,199.18,192.46,49654.35,12339.4,0,61993.75,0,0.0,0.0,0.0,0.0,0.0,0.0,,2027,9,2,57.2,42.8,0,101.9,163.59,221.33,298.31,192.46,2,14.2,88,95,86,0,2,5,3,25,0,0,2,Reception,3,0,2.59,10544.16,1795.25,0.0,12339.4,0,1,0,1,88.2,0.72,Pharma repeat client - fall peak,Clear,,,220,22124.01,39869.74,0.78,30964.6,2026-04-12,-9,Critical,Fall,20.79,Pharma repeat client - fall peak,10
