Date,Year,Month,Week,Day_Of_Week,Day_Name,Is_Weekend,Special_Event,Is_Special_Event,Is_OSU_Football,Group_Rooms_On_Books,Group_Events_Inhouse,Transient_Rooms_Available,Transient_Demand_Unconstrained,Transient_Rooms_Sold,Transient_Rooms_Turned_Away,Transient_ADR,Transient_Occ_Of_Available,Transient_Revenue,Total_Rooms_Sold,Total_Occupancy_Pct,Transient_RevPAR,Displacement_Cost_Per_Room,Displacement_Pressure,Demand_Tier,Market_Occ_Pct,Market_ADR,Market_RevPAR,Transient_Pace_7d,Transient_Pace_14d,Transient_Pace_30d,Pace_Index
2023-01-01,2023,1,52,6,Sunday,1,,0,0,73,1,147,63,63,0,129.72,42.9,8172.36,136,61.8,37.15,129.72,Low,Soft,57.6,118.06,68.0,63.0,63.0,63.0,1.0
2023-01-02,2023,1,1,0,Monday,0,,0,0,165,2,55,111,55,56,152.44,100.0,8384.2,220,100.0,38.11,152.44,High,Low,92.5,139.27,128.82,59.0,59.0,59.0,1.0
2023-01-03,2023,1,1,1,Tuesday,0,,0,0,220,3,0,141,0,141,163.58,0.0,0.0,220,100.0,0.0,163.58,Sold Out,Moderate,92.7,149.25,138.35,39.3,39.3,39.3,1.0
2023-01-04,2023,1,1,2,Wednesday,0,,0,0,220,3,0,144,0,144,160.12,0.0,0.0,220,100.0,0.0,160.12,Sold Out,Moderate,92.8,153.57,142.51,29.5,29.5,29.5,1.0
2023-01-05,2023,1,1,3,Thursday,0,,0,0,92,2,128,109,109,0,141.95,85.2,15472.55,201,91.4,70.33,141.95,Low,Low,85.9,126.4,108.58,45.4,45.4,45.4,1.0
2023-01-06,2023,1,1,4,Friday,0,,0,0,59,1,161,85,85,0,139.83,52.8,11885.55,144,65.5,54.03,139.83,Low,Low,60.5,127.99,77.43,52.0,52.0,52.0,1.0
2023-01-07,2023,1,1,5,Saturday,1,,0,0,59,1,161,79,79,0,150.32,49.1,11875.28,138,62.7,53.98,150.32,Low,Low,58.0,132.74,76.99,55.9,55.9,55.9,1.0
2023-01-08,2023,1,1,6,Sunday,1,,0,0,187,3,33,64,33,31,151.67,100.0,5005.11,220,100.0,22.75,151.67,High,Soft,93.3,144.4,134.73,51.6,53.0,53.0,0.974
2023-01-09,2023,1,2,0,Monday,0,,0,0,220,6,0,115,0,115,158.23,0.0,0.0,220,100.0,0.0,158.23,Sold Out,Moderate,93.0,148.23,137.85,43.7,47.1,47.1,0.928
2023-01-10,2023,1,2,1,Tuesday,0,,0,0,165,2,55,119,55,64,153.31,100.0,8432.05,220,100.0,38.33,153.31,High,Moderate,95.8,136.39,130.66,51.6,47.9,47.9,1.077
2023-01-11,2023,1,2,2,Wednesday,0,,0,0,0,0,220,130,130,0,145.22,59.1,18878.6,130,59.1,85.81,145.22,Low,Moderate,55.8,139.38,77.77,70.1,55.4,55.4,1.265
2023-01-12,2023,1,2,3,Thursday,0,,0,0,33,1,187,126,126,0,148.52,67.4,18713.52,159,72.3,85.06,148.52,Low,Moderate,69.8,137.25,95.8,72.6,61.2,61.2,1.186
2023-01-13,2023,1,2,4,Friday,0,,0,0,36,1,184,87,87,0,138.96,47.3,12089.52,123,55.9,54.95,138.96,Low,Low,53.7,124.16,66.67,72.9,63.2,63.2,1.153
2023-01-14,2023,1,2,5,Saturday,1,,0,0,90,2,130,93,93,0,141.96,71.5,13202.28,183,83.2,60.01,141.96,Low,Low,77.6,134.53,104.4,74.9,65.4,65.4,1.145
