Date,Year,Month,Month_Name,Week,Day_Of_Week,Day_Name,Is_Weekend,Special_Event,Is_Special_Event,Is_OSU_Football,Is_Holiday,Group_Rooms_On_Books,Group_Events_Inhouse,Transient_Rooms_Available,Transient_Demand_Unconstrained,Transient_Rooms_Sold,Transient_Rooms_Turned_Away,Transient_ADR,Transient_Occ_Of_Available,Transient_Revenue,Transient_Yield_Pct,Total_Rooms_Sold,Rooms_to_Capacity,Total_Occupancy_Pct,Transient_RevPAR,Displacement_Cost_Per_Room,Total_Displacement_Cost,Displacement_Pressure,Demand_Tier,Demand_Tier_3,Rate_Strategy,Market_Occ_Pct,Market_ADR,ADR_Index,Market_RevPAR,Transient_Pace_7d,Transient_Pace_14d,Transient_Pace_30d,Pace_Index,Pace_vs_Prior_Year,Pace_Status
2026-04-01,2026,4,Apr,14,2,Wednesday,0,,0,0,0,0,0,220,163,163,0,197.8,74.09,32241.51,74.09,163,57,74.09,146.55,197.8,0.0,Low,Shoulder,Shoulder,Standard,68.95,204.33,0.97,140.89,163,163,163,1.04,-0.04,Behind
2026-04-02,2026,4,Apr,14,3,Thursday,0,,0,0,0,0,0,220,187,187,0,183.43,85.0,34302.29,85.0,187,33,85.0,155.92,183.43,0.0,Low,Shoulder,Shoulder,Standard,72.72,179.93,1.02,130.84,187,187,187,1.08,0.11,Behind
2026-04-03,2026,4,Apr,14,4,Friday,0,,0,0,0,0,0,220,211,211,0,203.42,95.91,42922.21,95.91,211,9,95.91,195.1,203.42,0.0,Low,Shoulder,Shoulder,Standard,69.88,191.86,1.06,134.07,211,211,211,1.08,-0.04,On Pace
2026-04-04,2026,4,Apr,14,5,Saturday,1,,0,0,0,0,0,220,170,170,0,177.0,77.27,30089.95,77.27,170,50,77.27,136.77,177.0,0.0,Low,Shoulder,Shoulder,Standard,64.8,166.57,1.06,107.93,170,170,170,0.91,0.06,On Pace
2026-04-05,2026,4,Apr,14,6,Sunday,1,,0,0,0,0,0,220,143,143,0,194.74,65.0,27848.09,65.0,143,77,65.0,126.58,194.74,0.0,Low,Shoulder,Shoulder,Standard,69.46,204.32,0.95,141.93,143,143,143,1.03,0.03,Ahead
2026-04-06,2026,4,Apr,15,0,Monday,0,,0,0,0,42,1,178,145,145,0,186.29,81.46,27011.96,81.46,187,33,85.0,122.78,186.29,1295.24,Low,Shoulder,Shoulder,Standard,75.62,178.68,1.04,135.11,145,145,145,1.01,0.06,Behind
2026-04-07,2026,4,Apr,15,1,Tuesday,0,,0,0,0,0,0,220,208,208,0,189.18,94.55,39350.2,94.55,208,12,94.55,178.86,189.18,0.0,Low,Shoulder,Shoulder,Standard,70.18,175.72,1.08,123.32,208,208,208,0.95,-0.03,Ahead
2026-04-08,2026,4,Apr,15,2,Wednesday,0,,0,0,0,0,0,220,172,172,0,186.4,78.18,32060.01,78.18,172,48,78.18,145.73,186.4,0.0,Low,Shoulder,Shoulder,Standard,68.4,183.92,1.01,125.8,172,172,172,0.9,0.06,Behind
2026-04-09,2026,4,Apr,15,3,Thursday,0,,0,0,0,0,0,220,197,197,0,180.77,89.55,35610.73,89.55,197,23,89.55,161.87,180.77,0.0,Low,Shoulder,Shoulder,Standard,75.25,182.56,0.99,137.38,197,197,197,1.14,0.08,On Pace
2026-04-10,2026,4,Apr,15,4,Friday,0,,0,0,0,0,0,220,172,172,0,197.21,78.18,33920.89,78.18,172,48,78.18,154.19,197.21,0.0,Low,Shoulder,Shoulder,Standard,72.72,183.57,1.07,133.49,172,172,172,0.98,0.04,On Pace
