GEOID,checkpoint_year,poverty,income,child_population,income_definition
0100001,2012,15.1,53320.0,2033.0,"median family income, families with own children under 18 (B19125_002E)"
0100003,2012,3.1,84167.0,374.0,"median family income, families with own children under 18 (B19125_002E)"
0100005,2012,38.9,37560.0,5931.0,"median family income, families with own children under 18 (B19125_002E)"
0100006,2012,29.7,43946.0,11329.0,"median family income, families with own children under 18 (B19125_002E)"
0100007,2012,8.9,98268.0,21187.0,"median family income, families with own children under 18 (B19125_002E)"
0100008,2012,5.9,111480.0,11751.0,"median family income, families with own children under 18 (B19125_002E)"
0100011,2012,24.9,51620.0,2663.0,"median family income, families with own children under 18 (B19125_002E)"
0100012,2012,25.1,38125.0,2565.0,"median family income, families with own children under 18 (B19125_002E)"
0100013,2012,2.0,94975.0,5055.0,"median family income, families with own children under 18 (B19125_002E)"
0100030,2012,41.4,28735.0,4186.0,"median family income, families with own children under 18 (B19125_002E)"
0100060,2012,36.3,35000.0,1988.0,"median family income, families with own children under 18 (B19125_002E)"
0100090,2012,43.1,37875.0,4558.0,"median family income, families with own children under 18 (B19125_002E)"
0100100,2012,12.8,54605.0,1861.0,"median family income, families with own children under 18 (B19125_002E)"
0100120,2012,18.6,56649.0,5825.0,"median family income, families with own children under 18 (B19125_002E)"
0100180,2012,16.3,41853.0,1149.0,"median family income, families with own children under 18 (B19125_002E)"
0100185,2012,34.7,55154.0,3096.0,"median family income, families with own children under 18 (B19125_002E)"
0100210,2012,14.0,79406.0,9393.0,"median family income, families with own children under 18 (B19125_002E)"
0100240,2012,16.0,68508.0,14637.0,"median family income, families with own children under 18 (B19125_002E)"
0100270,2012,20.0,57492.0,42110.0,"median family income, families with own children under 18 (B19125_002E)"
0100300,2012,44.5,31360.0,2472.0,"median family income, families with own children under 18 (B19125_002E)"
0100330,2012,43.8,33665.0,6523.0,"median family income, families with own children under 18 (B19125_002E)"
0100360,2012,27.0,42438.0,5288.0,"median family income, families with own children under 18 (B19125_002E)"
0100390,2012,45.0,28098.0,46933.0,"median family income, families with own children under 18 (B19125_002E)"
0100420,2012,20.5,56906.0,12019.0,"median family income, families with own children under 18 (B19125_002E)"
0100450,2012,27.9,29080.0,1301.0,"median family income, families with own children under 18 (B19125_002E)"
0100480,2012,41.8,43500.0,2383.0,"median family income, families with own children under 18 (B19125_002E)"
0100510,2012,36.0,33235.0,4976.0,"median family income, families with own children under 18 (B19125_002E)"
