GEOID,checkpoint_year,child_population
0100001,2012,2033.0
0100003,2012,374.0
0100005,2012,5931.0
0100006,2012,11329.0
0100007,2012,21187.0
0100008,2012,11751.0
0100011,2012,2663.0
0100012,2012,2565.0
0100013,2012,5055.0
0100030,2012,4186.0
0100060,2012,1988.0
0100090,2012,4558.0
0100100,2012,1861.0
0100120,2012,5825.0
0100180,2012,1149.0
0100185,2012,3096.0
0100210,2012,9393.0
0100240,2012,14637.0
0100270,2012,42110.0
0100300,2012,2472.0
0100330,2012,6523.0
0100360,2012,5288.0
0100390,2012,46933.0
0100420,2012,12019.0
0100450,2012,1301.0
0100480,2012,2383.0
0100510,2012,4976.0
0100540,2012,13999.0
0100600,2012,5890.0
0100630,2012,5340.0
0100660,2012,10886.0
0100690,2012,3117.0
0100720,2012,5018.0
0100750,2012,3127.0
0100780,2012,3589.0
0100810,2012,4477.0
0100840,2012,5185.0
0100870,2012,3019.0
0100900,2012,2284.0
0100930,2012,4917.0
0100960,2012,3326.0
0100990,2012,3485.0
0101020,2012,15115.0
0101050,2012,3196.0
0101080,2012,2687.0
0101110,2012,5759.0
0101140,2012,14516.0
0101170,2012,12630.0
0101200,2012,1911.0
0101230,2012,16423.0
0101260,2012,990.0
0101290,2012,16814.0
0101320,2012,6810.0
0101350,2012,7455.0
0101380,2012,13999.0
0101410,2012,3530.0
0101440,2012,2653.0
0101470,2012,3223.0
0101530,2012,7734.0
0101560,2012,3746.0
0101590,2012,5494.0
0101620,2012,8691.0
0101640,2012,1607.0
0101660,2012,4357.0
0101680,2012,2208.0
0101690,2012,1892.0
0101710,2012,3899.0
0101720,2012,2002.0
0101730,2012,3775.0
0101740,2012,3843.0
0101760,2012,5817.0
0101770,2012,8888.0
0101800,2012,37205.0
0101830,2012,8941.0
0101860,2012,2501.0
0101890,2012,3229.0
0101920,2012,52710.0
0101950,2012,3223.0
0101980,2012,1917.0
0102010,2012,12120.0
0102040,2012,7907.0
0102070,2012,14060.0
0102100,2012,12740.0
0102130,2012,1136.0
0102160,2012,2764.0
0102190,2012,4280.0
0102220,2012,31405.0
0102250,2012,2038.0
0102310,2012,5218.0
0102350,2012,1489.0
0102370,2012,100152.0
0102400,2012,5760.0
0102430,2012,56213.0
0102480,2012,12149.0
0102490,2012,6107.0
0102520,2012,3022.0
0102550,2012,1980.0
0102580,2012,6491.0
0102610,2012,1632.0
0102635,2012,5830.0
0102640,2012,3776.0
0102650,2012,6412.0
0102670,2012,2571.0
0102700,2012,9710.0
0102730,2012,4589.0
0102760,2012,1290.0
0102790,2012,3583.0
0102820,2012,3696.0
0102850,2012,1564.0
0102880,2012,5510.0
0102910,2012,2330.0
0102940,2012,3056.0
0102970,2012,5803.0
0103000,2012,1929.0
0103030,2012,43998.0
0103062,2012,12923.0
0103090,2012,3069.0
0103120,2012,3106.0
0103150,2012,3939.0
0103180,2012,10831.0
0103210,2012,4544.0
0103240,2012,2386.0
0103270,2012,1510.0
0103300,2012,1380.0
0103330,2012,3063.0
0103360,2012,17156.0
0103390,2012,24547.0
0103420,2012,1878.0
0103430,2012,8388.0
0103450,2012,11844.0
0103480,2012,4399.0
0103510,2012,3139.0
0103540,2012,1753.0
0103580,2012,3429.0
0200001,2012,5159.0
0200003,2012,2524.0
0200004,2012,570.0
0200005,2012,431.0
0200007,2012,263.0
0200010,2012,42.0
0200020,2012,2273.0
0200030,2012,252.0
0200050,2012,606.0
0200060,2012,530.0
0200070,2012,599.0
0200090,2012,352.0
0200100,2012,1340.0
0200120,2012,633.0
0200130,2012,150.0
0200150,2012,3226.0
0200180,2012,75023.0
0200210,2012,7437.0
0200240,2012,2052.0
0200270,2012,583.0
0200300,2012,141.0
0200330,2012,129.0
0200360,2012,98.0
0200390,2012,13097.0
0200450,2012,125.0
0200480,2012,3947.0
0200485,2012,515.0
0200510,2012,25609.0
0200520,2012,309.0
0200525,2012,482.0
0200540,2012,101.0
0200570,2012,999.0
0200600,2012,24878.0
0200610,2012,2283.0
0200625,2012,2694.0
0200630,2012,20.0
0200660,2012,649.0
0200670,2012,184.0
0200680,2012,192.0
0200690,2012,197.0
0200700,2012,391.0
0200710,2012,990.0
0200715,2012,58.0
0200720,2012,600.0
0200730,2012,234.0
0200760,2012,520.0
0200770,2012,401.0
0200775,2012,309.0
0200780,2012,1142.0
0200800,2012,75.0
0200810,2012,451.0
0200840,2012,152.0
0200862,2012,609.0
0400004,2012,704.0
0400005,2012,450.0
0400022,2012,394.0
0400480,2012,224.0
