feature,importance,importance_pct,rank
meeting_ratio,0.091075234,9.107524,1
market_seg_Travel,0.07215412,7.2154126,2
num_fnb_types,0.0546207,5.4620705,3
pricing_pressure_index,0.050687224,5.0687227,4
revenue_intensity,0.045309994,4.5309997,5
budget_ratio,0.03403935,3.4039352,6
Rooms_Per_Attendee,0.03254378,3.2543783,7
total_meeting_hours,0.032511786,3.251179,8
Rooms_Available_Peak_Date,0.02625031,2.6250312,9
operational_complexity_score,0.024284238,2.428424,10
tr_transient_occ_of_available,0.023947664,2.3947666,11
Meeting_Space_Ratio,0.020861385,2.0861387,12
account_avg_revenue,0.0205694,2.0569403,13
proposed_total_revenue,0.02018994,2.0189943,14
max_av_level,0.017885353,1.7885355,15
confident_expected_pickup,0.017784985,1.7784986,16
projected_occupancy_with_group,0.01578972,1.5789721,17
room_night_demand_7d,0.015583633,1.5583634,18
market_segment_encoded,0.014929114,1.4929115,19
capacity_risk_score,0.014899973,1.4899974,20
avg_discount_nearby_60d,0.0147587415,1.4758742,21
avg_occupancy_14d,0.014260716,1.4260716,22
revenue_competition_14d,0.014006054,1.4006054,23
avg_revenue_intensity_14d,0.012995858,1.2995858,24
transient_displacement_cost,0.012900836,1.2900836,25
demand_ema_30d,0.012340706,1.2340707,26
avg_revenue_intensity_7d,0.011933416,1.1933417,27
length_of_stay_category_enc,0.0111606335,1.1160635,28
Account_Prior_Events,0.011117664,1.1117665,29
rate_discount_pct,0.011064753,1.1064754,30
avg_displacement_30d,0.010928352,1.0928353,31
priority_win_prob_component,0.010898448,1.0898448,32
occupancy_acceleration,0.010842508,1.0842508,33
occupancy_velocity_30_90d,0.010616437,1.0616437,34
displacement_ema_7d,0.010585317,1.0585319,35
occupancy_velocity_7_30d,0.010149797,1.0149798,36
historical_demand_this_month,0.009887615,0.9887616,37
pct_premium_rooms,0.009804486,0.9804487,38
demand_ema_7d,0.009425527,0.9425528,39
Completeness_Score,0.00904363,0.9043631,40
avg_competing_group_size_90d,0.008499109,0.84991103,41
days_since_last_account_rfp,0.008305263,0.83052635,42
avg_competing_group_size_30d,0.0082963575,0.82963586,43
displacement_velocity_30_90d,0.008246216,0.8246217,44
revenue_velocity_30_90d,0.007966762,0.79667634,45
min_room_rate,0.007644882,0.7644882,46
avg_competing_group_size_7d,0.0075740493,0.757405,47
booking_pace_7_30d,0.0075051417,0.7505142,48
displacement_acceleration,0.0074818474,0.7481848,49
rfp_count_7d,0.007261496,0.7261497,50
win_rate_30d,0.0071743997,0.71744,51
decision_days_cvent,0.0071212715,0.7121272,52
booking_confidence_7d,0.0070651257,0.70651263,53
Urgency_Index,0.007056918,0.7056919,54
arrival_dow_sin,0.0065203174,0.6520318,55
days_since_last_segment_rfp,0.0064942283,0.6494229,56
win_rate_14d,0.0051472313,0.5147232,57
response_due_days,0.0,0.0,58
