,importance
meeting_ratio,0.073219225
num_fnb_types,0.057871588
length_of_stay_category_enc,0.03562368
Meeting_Space_Ratio,0.035492662
revenue_intensity,0.02147193
Completeness_Score,0.018829456
max_av_level,0.018643029
room_night_demand_7d,0.018470265
proposed_total_revenue,0.017508164
historical_demand_this_month,0.0159917
Rooms_Available_Peak_Date,0.014691012
attendees,0.014405899
displacement_velocity_30_90d,0.013491905
arrival_dow_sin,0.01295412
capacity_risk_score,0.012460661
transient_displacement_cost,0.011899422
days_since_last_segment_rfp,0.0118064005
avg_occupancy_14d,0.011430151
pricing_pressure_index,0.011270842
avg_discount_nearby_60d,0.0110557135
displacement_acceleration,0.010304251
avg_revenue_intensity_14d,0.009983817
total_meeting_hours,0.0098143015
decision_days_cvent,0.009400053
projected_occupancy_with_group,0.009354678
confident_expected_pickup,0.009246437
revenue_velocity_30_90d,0.008656555
rate_discount_pct,0.008557203
demand_ema_7d,0.008491827
avg_displacement_30d,0.008415457
occupancy_velocity_7_30d,0.008112102
booking_pace_7_30d,0.007895179
priority_win_prob_component,0.0076597314
avg_competing_group_size_90d,0.0076216194
avg_competing_group_size_30d,0.0074654226
operational_complexity_score,0.007417246
Rooms_Per_Attendee,0.007372418
occupancy_acceleration,0.00732985
win_rate_14d,0.0072557563
room_revenue_ratio,0.0072409497
Urgency_Index,0.00707567
occupancy_velocity_30_90d,0.0070048827
avg_competing_group_size_7d,0.006939408
market_seg_Travel,0.0069040046
tr_transient_occ_of_available,0.0067300927
revenue_competition_14d,0.006698058
demand_ema_30d,0.0066582332
displacement_ema_7d,0.0066532115
min_room_rate,0.0066088713
market_segment_encoded,0.006533667
win_rate_30d,0.006459814
rfp_count_7d,0.006430762
account_avg_revenue,0.0063796313
budget_ratio,0.0063061463
response_due_days,0.006154807
days_since_last_account_rfp,0.006105785
Account_Prior_Events,0.006045663
pct_premium_rooms,0.0060261586
booking_confidence_7d,0.0059113377
avg_revenue_intensity_7d,0.005864639
revenue_volatility_90d,0.0056537124
win_rate_acceleration,0.0056096497
wedding_social_demand_30d,0.0055999192
win_rate_7d,0.00556008
budget_amount,0.0055553974
inquiry_day_of_year,0.0055529587
group_size_deviation,0.005501328
lead_time_deviation,0.0053901966
win_rate_velocity_30_90d,0.0053887
revenue_volatility_60d,0.005367382
account_win_rate,0.005184079
tactical_compression_opportunity,0.005183402
decision_time_days,0.00504434
tr_transient_rooms_turned_away,0.0049998607
rfp_volume_acceleration,0.0049221166
avg_competing_group_size_60d,0.0048163324
revenue_acceleration,0.004803586
avg_displacement_60d,0.004779867
revenue_ema_30d,0.0047716484
avg_competing_group_size_14d,0.004645108
ADR_Discount_Pct,0.004558731
inquiry_dow_cos,0.004525457
revenue_momentum,0.0044921273
arrival_day_of_week,0.004485602
tr_displacement_pressure,0.004370092
avg_displacement_14d,0.0043607173
booking_confidence_30d,0.0043391227
organization_industry_enc,0.0042796927
booking_confidence_60d,0.0042232377
arrival_week_enc,0.0042206813
Account_Prior_Revenue,0.0041279006
revenue_intensity_deviation,0.004122078
revenue_volatility_30d,0.0041202134
confidence_ema_7d,0.004010405
rfp_volume_velocity_7_30d,0.00390891
priority_score_v2,0.0038731482
avg_occupancy_7d,0.0038591619
lead_source_encoded,0.0037092008
win_rate_60d,0.0037071558
rfp_count_90d,0.0036530504
arrival_dow_cos,0.0035776277
meeting_space_constraint,0.0035190885
revenue_ema_7d,0.0034340543
baseline_adr,0.003418337
days_to_peak_season,0.003399182
booking_confidence_90d,0.0032951285
historical_demand_this_week,0.0030705386
booking_pace_rooms_per_day,0.003056813
win_rate_90d,0.003026081
is_hot_streak,0.0028914963
room_night_demand_90d,0.0028587973
days_since_last_win,0.002789465
night_variance_pct,0.0027623563
arrival_month_sin,0.002758445
smerf_demand_30d,0.0027410795
has_special_requirements,0.0026754255
revenue_competition_30d,0.00254561
avg_occupancy_30d,0.0023991282
avg_discount_nearby_30d,0.0023923323
arrival_month_cos,0.002340862
corporate_demand_30d,0.002236201
booking_confidence_14d,0.0021441623
arrival_clustering_score,0.0019666168
lead_source_enc,0.0018375131
revenue_competition_7d,0.0017601582
forecasted_occupancy,0.001757789
inquiry_month_cos,0.0014935023
competing_rfps_same_week_segment,0.0013438212
Flag_Date_Conflict,0.001288295
destinations_considered,0.0012695373
arrival_day_of_year,0.001000679
Flag_Rate_Below_Baseline,0.0
Flag_High_Displacement,0.0
Is_Compression_Date,0.0
Is_First_Time_Account,0.0
Has_Prior_Decline,0.0
client_priority,0.0
booking_window_enc,0.0
arrival_quarter_cos,0.0
avg_displacement_7d,0.0
Flag_Short_Response_Window,0.0
days_to_next_quarter,0.0
client_priority_cvent_enc,0.0
days_since_last_rfp,0.0
event_format_encoded,0.0
event_format_enc,0.0
event_configuration_enc,0.0
has_premium_av,0.0
has_evening_session,0.0
has_dinner,0.0
has_reception,0.0
displacement_ema_30d,0.0
market_seg_SMERF,0.0
market_seg_Social,0.0
market_seg_Technology,0.0
market_seg_Trade/Manufacturing,0.0
market_seg_Healthcare,0.0
market_seg_Legal,0.0
market_seg_Other,0.0
market_seg_Professional Services,0.0
market_seg_Government,0.0
market_seg_Finance,0.0
market_seg_Education,0.0
market_seg_Association,0.0
inquiry_month_sin,0.0
is_shoulder_season,0.0
is_cold_streak,0.0
is_peak_arrival,0.0
inquiry_day_of_week,0.0
historical_demand_this_quarter,0.0
inquiry_dow_sin,0.0
full_day_pct,0.0
pattern_complexity,0.0
num_meeting_rooms,0.0
pickup_momentum,0.0
rfp_volume_momentum,0.0
suite_rate,0.0
surrounded_by_high_value,0.0
segment_avg_revenue_intensity,0.0
segment_pickup_reliability,0.0
uses_ballroom,0.0
uses_boardroom,0.0
win_rate_momentum,0.0
win_rate_volatility_60d,0.0
