feature,vif
capacity_risk_score,7.865618756684987
demand_ema_30d,7.789106799389363
total_meeting_hours,7.173629145627195
revenue_intensity,6.4994670965981545
projected_occupancy_with_group,6.480928861572273
operational_complexity_score,6.225722250356311
num_fnb_types,6.203104968472932
demand_ema_7d,5.6753347475582885
proposed_total_revenue,5.610882406829874
rate_discount_pct,5.229660905817087
confident_expected_pickup,4.763873323768263
meeting_ratio,4.324167621531471
occupancy_velocity_7_30d,4.1731227170332
max_av_level,4.018605212311449
occupancy_acceleration,3.7078374681154838
booking_confidence_7d,3.564435205604884
booking_pace_7_30d,3.4706494754866437
displacement_ema_7d,3.4557531589267505
room_night_demand_7d,3.436016260350211
transient_displacement_cost,3.304057547131682
historical_demand_this_month,3.2186346986183803
avg_displacement_30d,3.0755312678687994
displacement_velocity_30_90d,3.0539600364070063
avg_revenue_intensity_14d,2.9774383843433307
avg_occupancy_14d,2.7731565848473614
Meeting_Space_Ratio,2.7060016005285887
account_avg_revenue,2.574719958590962
budget_ratio,2.513610074484931
Completeness_Score,2.4329112634806633
Urgency_Index,2.389041637618652
avg_revenue_intensity_7d,2.38271989168984
occupancy_velocity_30_90d,2.3819611495021316
market_segment_encoded,2.3465647361748863
Account_Prior_Events,2.1634566665472232
win_rate_30d,2.1051169414467066
win_rate_14d,2.0292059599920425
Rooms_Available_Peak_Date,2.014684054249822
displacement_acceleration,1.940812300292602
Rooms_Per_Attendee,1.8322771545697498
market_seg_Travel,1.8112082998003038
revenue_velocity_30_90d,1.7810341089607316
avg_discount_nearby_60d,1.77740140821638
avg_competing_group_size_7d,1.769820546728524
pct_premium_rooms,1.768327940513832
pricing_pressure_index,1.637147661713347
revenue_competition_14d,1.611000260952403
days_since_last_account_rfp,1.5901141765324671
avg_competing_group_size_30d,1.5397302205216064
days_since_last_segment_rfp,1.5337640990868415
response_due_days,1.5081389199784176
tr_transient_occ_of_available,1.3718046347955086
avg_competing_group_size_90d,1.3428994808429953
min_room_rate,1.3355194498478369
arrival_dow_sin,1.2968915981726314
rfp_count_7d,1.2151161701208086
length_of_stay_category_enc,1.1474236842561454
priority_win_prob_component,1.1031535279762927
decision_days_cvent,1.0457637469887457
