GEOID,lat,lon
0407530,32.6418079,-111.4345331
0401740,32.8391529,-111.9208947
0405070,34.8350571,-112.0838391
0406030,31.5472872,-110.6799581
0400082,35.1052137,-114.4678343
0400450,33.4814273,-112.407871
0401410,33.3198987,-112.811794
0403450,33.5743168,-112.1351943
0406330,33.4408648,-112.0990258
0408340,33.3111998,-111.9835387
0408520,33.4119203,-112.2743781
0400720,32.9920489,-113.8173717
0401160,33.6694969,-113.9521527
0408910,31.86554,-109.6700375
0409630,32.5295065,-114.0048912
0699014,39.4308753,-121.1005893
0602700,40.4438397,-122.3112663
0629270,34.1666166,-119.0841513
0606019,34.4401,-119.845687
0614820,38.2857504,-121.2399046
0626880,39.2776911,-120.9336868
0630210,33.7737016,-117.2937067
0606021,37.3969795,-118.6271209
0636940,41.3926588,-122.0181498
0643410,41.797907,-122.6321591
0637260,37.9227248,-120.422503
0606020,37.7444188,-121.5788115
0642350,39.0852587,-121.4073702
0634140,36.6535732,-121.099188
0609810,39.8936816,-122.4874293
0632010,40.2414345,-122.172904
0614760,33.9038369,-117.9498679
0608160,34.138982,-117.5812866
0638280,38.141434,-119.927617
0606034,33.7329262,-117.1489895
0608010,32.7410776,-115.6421516
0601650,37.879801,-122.1364828
0621600,37.9222259,-121.6687395
0699003,36.407663,-120.1525502
0699004,37.2236095,-119.0009358
0699005,39.7181193,-122.119627
0606004,38.6551041,-121.4473052
0606001,37.3429441,-119.7194288
0606022,34.4121719,-119.0656783
0602820,34.6548837,-118.1499193
0606037,34.0587656,-118.0964295
0612120,34.0695217,-118.0378986
0642480,33.9670928,-118.03767
0602670,38.4845855,-123.0858851
0635830,38.45711,-122.663433
0699002,36.5792894,-119.9035634
0699001,39.3263017,-121.6638966
0616500,36.3047466,-119.6141167
0621400,36.2331345,-119.8435592
0630750,39.0715279,-120.7122179
0633630,38.7640574,-121.2964683
0636972,34.6630872,-117.447277
0606005,41.2663944,-123.1705167
0619650,36.114294,-121.0518645
0633980,36.6539433,-121.6156775
0641430,35.6380655,-119.7608514
0621270,37.2349943,-120.2598661
0624660,37.3573198,-120.5256084
0606038,38.6097462,-122.9669388
0629130,39.6041742,-121.4309121
0612910,33.1206362,-117.0574659
0613530,33.3802371,-117.3901006
0616230,32.7738,-116.8184
0619110,33.0470228,-116.4590731
0634380,33.0115238,-117.2505076
0638640,32.5993697,-116.9826897
0610860,35.7639665,-119.2482875
0639930,36.1054659,-119.3707745
0635670,34.8746921,-120.3547359
0635850,34.6358707,-119.8949947
0611700,41.1423017,-122.3099775
0619830,36.469336,-119.5329896
0606107,36.0714985,-118.5589548
0638730,35.3198328,-119.6178338
0699008,39.0907791,-122.7850454
0699013,37.8527885,-120.7572634
0631230,38.8349084,-123.5185681
0605820,33.1008061,-115.6819992
0636600,40.6640213,-122.1369203
0606016,36.4906075,-119.3401553
0618930,37.6902096,-122.4962693
0606031,37.6257136,-121.4377862
0611780,38.8548216,-121.5333568
0638610,39.0624282,-121.7735887
0611820,37.3280173,-121.7748624
0626310,37.386817,-122.0998178
0614430,37.3254698,-122.0555915
0622800,37.1752816,-121.9659947
0607230,37.2792209,-121.9460918
0699009,35.4785848,-120.8947455
0699010,35.7829731,-120.7359099
0699007,40.6872478,-123.9241334
0699006,40.7143559,-124.0990456
0608550,37.0721241,-120.2969305
0606053,36.571395,-121.5093551
0625150,37.6621761,-121.0329004
0606018,36.6451008,-119.7975716
0606006,40.9171016,-123.0616435
0612070,38.707909,-120.5909221
0621060,40.6096275,-120.4598515
0606026,36.4369886,-118.671533
0606028,36.3308772,-119.0875522
0606015,36.9545991,-121.9755307
0603030,40.9504862,-123.917086
0614190,40.5056706,-123.8642242
0607920,33.9102802,-118.3480805
0642510,34.4804638,-118.5501866
0606013,37.4823431,-120.9537302
0606025,39.7787191,-122.0754139
0606003,38.7392057,-121.4806566
0635600,37.0795862,-122.1744913
0699011,36.953717,-122.0705997
0619540,35.393093,-118.7772289
0602630,33.8268024,-117.9645681
0618060,33.6845747,-118.0212994
0630250,38.1988275,-122.6342934
0635110,38.0055375,-122.5028107
0638790,37.9365039,-122.6737641
0699012,37.6270442,-120.5723086
0605940,38.1478436,-120.4651598
0634980,37.5784336,-122.3292815
0636390,37.4640935,-122.2255366
0903750,41.6644949,-72.4113823
0903780,41.2881403,-73.3553326
0900005,41.8616318,-72.2239694
0903570,41.7528056,-72.0771642
0903630,41.3763804,-72.4608355
0903660,41.3635385,-73.0038877
0903600,41.8837192,-73.3783861
0903720,41.9697726,-73.1784393
1313053,32.3717532,-84.7974159
1313215,32.4698571,-84.8130988
1732700,41.3561756,-89.4553656
1700333,38.0723787,-90.0975553
1704020,41.7598003,-87.8289776
1704170,42.0762484,-87.9617537
1706540,41.6702888,-87.7358926
1707050,41.5987613,-87.7324748
1708400,41.641466,-87.8519166
1714490,42.047117,-87.6971114
1714580,41.7212749,-87.7013342
1719320,41.7788208,-87.9436643
1719560,41.5485798,-87.6699662
1722500,41.6801475,-87.9731885
1722740,41.9376519,-87.8759782
1723880,41.7860138,-87.8797038
1717901,40.9935122,-88.7233485
1732220,40.9124848,-88.5631348
1738100,41.1575752,-88.7877848
1727740,38.3234419,-89.3236894
1735190,38.5968831,-88.8692552
1726180,38.350563,-88.3329425
1709300,38.4765831,-89.1266608
1727360,38.290078,-88.859816
1799008,38.3326896,-89.1231246
1739870,41.516004,-90.3907935
1704230,40.2823717,-87.9020276
1733240,40.2981766,-88.134573
1737410,40.1461844,-88.0393249
1705970,38.0431026,-88.8459047
1734290,41.9433812,-89.0417636
1725650,41.578614,-89.0930993
1729730,41.5594694,-89.4448495
1706420,41.503125,-87.6056812
1720610,41.4738196,-88.114401
1723070,41.4884618,-87.9233493
1723350,41.5932968,-88.0107309
1726340,41.4730355,-88.2768211
1718030,41.3540936,-89.2525278
1722110,41.3168007,-89.0736782
1734380,41.7263091,-89.680391
1735850,41.2592008,-88.552568
1728260,41.5122017,-88.5179116
1712870,41.0729988,-88.4631538
1713230,40.6741311,-89.5458262
1731110,40.5439497,-89.6596456
1740980,40.7042865,-89.4140836
1726640,41.3770198,-88.4364268
1716260,41.189747,-88.3083297
1722950,40.6683337,-89.6921988
1799009,41.0535919,-87.5829205
1725770,40.8140614,-89.4200454
1724090,42.029453,-87.8642087
1726880,41.8320708,-87.7814893
1728200,42.1017872,-87.7501283
1728530,42.0298874,-87.758577
1729010,42.1058914,-87.8345603
1729220,41.7233592,-87.7600471
1712570,41.7761556,-88.0217838
1713940,41.9021667,-87.9903629
1715030,41.9658651,-87.9616281
1716830,41.8935564,-88.0729337
1721840,41.9709738,-88.0673596
1799004,38.2999063,-88.7837833
1799001,38.4281967,-88.7570471
1799005,38.4127385,-89.0940528
1799006,38.42881,-89.006118
1708370,37.7062864,-89.1991655
1705640,38.5078405,-90.0394624
1715840,38.4014297,-89.896931
1729790,38.6045704,-89.9064056
1729280,41.8898495,-87.7998262
1730450,42.0719749,-88.07129
1732910,41.8721092,-87.8708854
1733270,41.7597695,-87.7704005
