FSCSKEY,district_geoid,weight
CA0024,0609120,1.0
CA0092,0629700,1.0
CA0093,0629640,1.0
CA0167,0603840,1.0
CO0006,0802190,1.0
CO0009,0804260,1.0
CO0010,0802400,1.0
CO0014,0802610,1.0
CO0015,0802640,1.0
CO0026,0807200,1.0
CO0045,0803960,1.0
CO0046,0803990,1.0
CO0054,0804590,1.0
CO0057,0807080,1.0
CO0064,0805160,1.0
CO0069,0805250,1.0
CO0078,0805460,1.0
CO0081,0805610,1.0
CO0087,0805880,1.0
CO0090,0803210,1.0
CO0092,0805970,1.0
CO0098,0802280,1.0
CO0100,0806180,1.0
CO0103,0805910,1.0
CO0107,0803180,1.0
CO0108,0806300,1.0
CO0109,0806330,1.0
CO0110,0806480,1.0
CO0112,0806660,1.0
CO0116,0806840,1.0
CO0117,0806870,1.0
CO0131,0807350,1.0
CO0132,0807380,1.0
CO0141,0804770,1.0
CO9015,0803930,1.0
CO9017,0800001,1.0
CO9018,0806210,1.0
ID0001,1600030,1.0
ID0002,1600060,1.0
ID0009,1602970,1.0
ID0019,1602640,1.0
ID0021,1600570,1.0
ID0024,1601950,1.0
ID0039,1601500,1.0
ID0042,1601470,1.0
ID0043,1601410,1.0
ID0050,1601770,1.0
ID0064,1602730,1.0
ID0066,1602160,1.0
ID0086,1601920,1.0
ID0092,1602820,1.0
ID0099,1603090,1.0
ID0110,1603480,1.0
ID0123,1601110,1.0
ID0124,1602060,1.0
IL0016,1703960,1.0
IL0020,1700105,1.0
IL0024,1704440,1.0
IL0031,1740830,1.0
IL0032,1705050,1.0
IL0041,1705820,1.0
IL0047,1706120,1.0
IL0055,1706880,1.0
IL0059,1707200,1.0
IL0063,1707770,1.0
IL0065,1707950,1.0
IL0066,1708010,1.0
IL0067,1708040,1.0
IL0071,1708160,1.0
IL0089,1709330,1.0
IL0102,1719970,1.0
IL0110,1703660,1.0
IL0111,1710530,1.0
IL0137,1712060,1.0
IL0144,1712480,1.0
IL0150,1712930,1.0
IL0152,1713050,1.0
IL0158,1721900,1.0
IL0160,1713660,1.0
IL0164,1713860,1.0
IL0170,1714350,1.0
IL0180,1700044,1.0
IL0200,1716140,1.0
IL0201,1716350,1.0
IL0202,1716380,1.0
IL0205,1700041,1.0
IL0217,1717280,1.0
IL0226,1717790,1.0
IL0229,1718270,1.0
IL0233,1718510,1.0
IL0234,1703600,1.0
IL0240,1718870,1.0
IL0259,1720490,1.0
IL0279,1721680,1.0
IL0287,1722530,1.0
IL0289,1722710,1.0
IL0293,1723250,1.0
IL0296,1700120,1.0
IL0303,1711880,1.0
IL0312,1743962,1.0
IL0314,1724390,1.0
IL0316,1736960,1.0
IL0319,1724650,1.0
IL0321,1724750,1.0
IL0326,1724900,1.0
IL0328,1700113,1.0
IL0346,1726430,1.0
IL0364,1727390,1.0
IL0373,1727960,1.0
IL0383,1700004,1.0
IL0387,1718240,1.0
IL0393,1710800,1.0
IL0409,1730480,1.0
IL0420,1731020,1.0
IL0421,1731050,1.0
IL0434,1731770,1.0
IL0441,1732770,1.0
IL0459,1734320,1.0
IL0467,1734990,1.0
IL0498,1700102,1.0
IL0502,1711400,1.0
IL0512,1725690,1.0
IL0532,1739390,1.0
IL0541,1740080,1.0
IL0542,1740140,1.0
IL0548,1740320,1.0
IL0563,1741190,1.0
IL0585,1742630,1.0
IL0589,1742790,1.0
IL0603,1710440,1.0
IL0606,1731500,1.0
IL0612,1725590,1.0
IL0614,1742450,1.0
IL0634,1710290,1.0
IL0636,1719830,1.0
IL0662,1705430,1.0
IL0695,1708580,1.0
IL0700,1739450,1.0
IL8001,1716020,1.0
IL8005,1727990,1.0
IL8033,1701390,1.0
KS0072,2008970,1.0
KS0121,2006090,1.0
KS0276,2007650,1.0
KS0296,2009630,1.0
KS0298,2011400,1.0
ME0015,2314772,1.0
ME0042,2314794,1.0
ME0065,2314833,1.0
ME0159,2314782,1.0
ME0177,2314803,1.0
ME0215,2311010,1.0
ME0315,2311310,1.0
MI0012,2602820,1.0
MI0050,2607690,1.0
MI0058,2608610,1.0
MI0060,2608730,1.0
MI0063,2608910,1.0
MI0084,2612030,1.0
MI0113,2614730,1.0
MI0118,2615150,1.0
MI0126,2615970,1.0
MI0135,2624840,1.0
MI0158,2618600,1.0
MI0160,2618720,1.0
MI0168,2608040,1.0
MI0179,2612560,1.0
MI0180,2619950,1.0
MI0187,2620700,1.0
MI0201,2616380,1.0
MI0214,2622470,1.0
MI0237,2624690,1.0
MI0256,2626940,1.0
MI0263,2627420,1.0
MI0265,2627660,1.0
MI0277,2628950,1.0
MI0285,2629580,1.0
MI0300,2630660,1.0
MI0301,2630840,1.0
MI0302,2608160,1.0
MI0330,2625350,1.0
MI0333,2633720,1.0
MI0338,2633810,1.0
MI0354,2624600,1.0
MI0370,2636300,1.0
MI0418,2623310,1.0
MN0133,2709750,1.0
MO0003,2905760,1.0
MO0024,2923490,1.0
MO0147,2922890,1.0
MT0060,3006110,1.0
ND0048,3810740,1.0
