feature,importance,importance_pct,rank
meeting_ratio,0.16690314,16.690313,1
priority_revenue_component,0.092802905,9.280291,2
budget_ratio,0.082718976,8.271897,3
revenue_velocity_30_90d,0.06096653,6.096653,4
displacement_velocity_30_90d,0.058548633,5.854863,5
avg_occupancy_7d,0.050427817,5.042782,6
Completeness_Score,0.048652086,4.8652086,7
arrival_day_of_week,0.046022195,4.6022196,8
attendees,0.044091288,4.4091287,9
decision_days_cvent,0.04408363,4.408363,10
rfp_count_90d,0.042832654,4.2832656,11
avg_displacement_30d,0.040365376,4.0365376,12
association_demand_30d,0.04032971,4.032971,13
confidence_ema_7d,0.039196737,3.9196737,14
displacement_acceleration,0.037999064,3.7999063,15
avg_competing_group_size_60d,0.037328273,3.7328272,16
confident_expected_pickup,0.033633206,3.3633206,17
days_to_peak_season,0.03309779,3.309779,18
win_rate_14d,0.0,0.0,19
rfp_count_7d,0.0,0.0,20
