feature,importance,importance_pct,rank
revenue_ema_7d,0.24600567,24.60057,1
nights,0.20756333,20.756336,2
avg_revenue_intensity_14d,0.06972716,6.972717,3
avg_revenue_intensity_7d,0.0695309,6.9530907,4
revenue_competition_30d,0.05386966,5.3869667,5
wedding_social_demand_30d,0.050691675,5.069168,6
arrival_clustering_score,0.030943424,3.0943427,7
days_since_last_segment_rfp,0.028089901,2.8089905,8
demand_ema_30d,0.027681975,2.7681978,9
arrival_dow_sin,0.023865892,2.3865895,10
account_avg_revenue,0.02322442,2.3224423,11
competing_rfps_same_week_segment,0.023006782,2.3006785,12
win_rate_acceleration,0.022696674,2.2696676,13
association_demand_30d,0.022535995,2.2535996,14
arrival_month_cos,0.01974654,1.9746542,15
avg_occupancy_7d,0.019683916,1.9683918,16
days_to_peak_season,0.019148298,1.91483,17
lead_source_encoded,0.015312994,1.5312996,18
booking_pace_rooms_per_day,0.014232296,1.4232297,19
revenue_volatility_60d,0.012442462,1.2442464,20
