geoid,lat,lon,mean_sign_post,local_moran_I,quadrant,p_approx
0100005,34.26313,-86.21066,1.000,0.5819,HH,0.0000
0100006,34.38219,-86.30506,1.000,0.5819,HH,0.0000
0100007,33.37695,-86.80558,1.000,0.5819,HH,0.0000
0100008,34.71053,-86.76228,1.000,0.5819,HH,0.0000
0100011,33.54685,-86.57145,1.000,0.5819,HH,0.0000
0100012,34.19902,-86.15515,1.000,0.5819,HH,0.0000
0100013,33.65523,-86.56324,1.000,0.5819,HH,0.0000
0100030,32.86978,-85.94624,1.000,0.5819,HH,0.0000
0100090,33.67347,-85.81089,1.000,0.5819,HH,0.0000
0100100,34.33239,-86.50117,1.000,0.5819,HH,0.0000
0100120,34.77902,-86.95080,1.000,0.5819,HH,0.0000
0100185,30.85451,-88.10981,1.000,0.2645,HH,0.0000
0100189,30.85787,-88.06338,1.000,0.2645,HH,0.0000
0100190,33.21435,-86.82308,1.000,0.5819,HH,0.0000
0100194,33.32183,-86.74220,1.000,0.5819,HH,0.0000
0100195,32.27361,-86.11893,1.000,0.5819,HH,0.0000
0100202,30.27717,-87.70236,1.000,0.1851,HH,0.0000
0100210,32.60712,-85.49096,1.000,0.5819,HH,0.0000
0100240,32.53224,-86.64644,1.000,0.5819,HH,0.0000
0100270,30.67350,-87.74216,1.000,0.3438,HH,0.0000
0100360,33.01589,-87.12715,1.000,0.5819,HH,0.0000
0100390,33.52717,-86.79704,1.000,0.5819,HH,0.0000
0100450,31.10917,-87.07658,1.000,0.5819,HH,0.0000
0100480,32.10176,-85.71726,1.000,0.5819,HH,0.0000
0100510,31.75167,-86.68197,1.000,0.5819,HH,0.0000
0100540,33.77921,-85.84280,1.000,0.5819,HH,0.0000
0100600,32.91550,-85.39403,1.000,0.5819,HH,0.0000
0100630,34.17613,-85.61820,1.000,0.5819,HH,0.0000
0100660,32.85405,-86.72661,1.000,0.5819,HH,0.0000
0100690,31.99095,-88.24889,1.000,0.1851,HH,0.0000
0100720,31.66494,-87.82926,1.000,0.4232,HH,0.0000
0100750,33.27040,-85.86353,1.000,0.5819,HH,0.0000
0100780,33.65053,-85.52206,1.000,0.5819,HH,0.0000
0100840,34.70401,-87.81304,1.000,0.5819,HH,0.0000
0100870,31.43093,-86.98872,1.000,0.5819,HH,0.0000
0100900,32.93145,-86.24348,1.000,0.5819,HH,0.0000
0100930,31.24536,-86.45538,1.000,0.5819,HH,0.0000
0100960,31.73031,-86.32004,1.000,0.5819,HH,0.0000
0100990,34.17889,-86.84189,1.000,0.5819,HH,0.0000
0101020,34.13192,-86.86927,1.000,0.5819,HH,0.0000
0101050,31.49229,-85.56327,1.000,0.5819,HH,0.0000
0101080,31.26671,-85.73882,1.000,0.5819,HH,0.0000
0101140,34.46331,-85.81206,1.000,0.5819,HH,0.0000
0101170,34.57300,-86.98990,1.000,0.5819,HH,0.0000
0101230,31.23370,-85.40682,1.000,0.5819,HH,0.0000
0101290,32.60276,-86.18531,1.000,0.5819,HH,0.0000
0101320,31.32553,-85.84607,1.000,0.5819,HH,0.0000
0101350,31.12229,-87.16841,1.000,0.5819,HH,0.0000
0101380,34.11604,-85.89591,1.000,0.5819,HH,0.0000
0101410,31.90994,-85.15271,1.000,0.5819,HH,0.0000
0101440,33.47480,-86.91941,1.000,0.5819,HH,0.0000
0101470,33.70892,-87.74098,1.000,0.5819,HH,0.0000
0101530,34.82981,-87.66220,1.000,0.5819,HH,0.0000
0101560,34.45733,-85.68945,1.000,0.5819,HH,0.0000
0101590,34.44199,-87.84281,1.000,0.5819,HH,0.0000
0101640,31.04384,-85.87986,1.000,0.5819,HH,0.0000
0101660,31.14677,-85.66296,1.000,0.5819,HH,0.0000
0101680,32.84450,-87.96420,1.000,0.5819,HH,0.0000
0101690,34.36795,-86.25232,1.000,0.5819,HH,0.0000
0101710,32.75280,-87.62306,1.000,0.5819,HH,0.0000
0101720,34.21103,-87.57767,1.000,0.5819,HH,0.0000
0101730,34.43831,-86.94114,1.000,0.5819,HH,0.0000
0101740,31.51698,-85.23997,1.000,0.5819,HH,0.0000
0101760,33.45855,-86.80965,1.000,0.5819,HH,0.0000
0101770,31.13282,-85.28154,1.000,0.5819,HH,0.0000
0101800,34.70135,-86.67317,1.000,0.5819,HH,0.0000
0101830,34.76411,-85.98006,1.000,0.5819,HH,0.0000
0101860,33.81007,-85.75522,1.000,0.5819,HH,0.0000
0101890,33.85111,-87.26835,1.000,0.5819,HH,0.0000
0101920,33.57513,-86.94039,1.000,0.5819,HH,0.0000
0101950,33.78709,-88.08743,1.000,0.5819,HH,0.0000
0102010,34.90417,-87.65111,1.000,0.5819,HH,0.0000
0102040,34.52978,-87.32187,1.000,0.5819,HH,0.0000
0102070,32.59367,-85.33010,1.000,0.5819,HH,0.0000
0102160,32.14789,-86.65059,1.000,0.5819,HH,0.0000
0102190,32.38703,-85.69289,1.000,0.5819,HH,0.0000
0102220,34.85978,-86.65562,1.000,0.5819,HH,0.0000
0102310,34.14655,-87.88941,1.000,0.5819,HH,0.0000
0102350,33.45527,-86.92241,1.000,0.5819,HH,0.0000
0102370,30.67954,-88.20058,0.333,-0.0240,LH,0.0000
0102400,31.58035,-87.38334,1.000,0.5819,HH,0.0000
0102430,32.22885,-86.21548,1.000,0.5819,HH,0.0000
0102480,34.44107,-86.83319,1.000,0.5819,HH,0.0000
0102490,33.49149,-86.73447,1.000,0.5819,HH,0.0000
0102520,34.74266,-87.63377,1.000,0.5819,HH,0.0000
0102550,33.94704,-86.48979,1.000,0.5819,HH,0.0000
0102580,32.66074,-85.37889,1.000,0.5819,HH,0.0000
0102610,31.28438,-86.25744,1.000,0.5819,HH,0.0000
0102635,33.59009,-85.85225,1.000,0.5819,HH,0.0000
0102640,31.44338,-85.64098,1.000,0.5819,HH,0.0000
0102650,33.55212,-86.31914,1.000,0.5819,HH,0.0000
0102670,32.63901,-87.29383,1.000,0.5819,HH,0.0000
0102700,32.45371,-85.03102,1.000,0.5819,HH,0.0000
0102730,33.29680,-88.09686,1.000,0.5819,HH,0.0000
0102760,33.91800,-85.51382,1.000,0.5819,HH,0.0000
0102790,31.72742,-85.79264,1.000,0.5819,HH,0.0000
