,importance
ADR_Discount_Pct,0.538435
is_peak_arrival,0.0769416
Is_Compression_Date,0.05276128
tr_transient_adr,0.041532803
is_shoulder_season,0.031181043
arrival_day_of_week,0.029066492
historical_demand_this_month,0.02475491
arrival_month_cos,0.020611148
tr_demand_tier,0.015057726
rate_discount_pct,0.01068129
arrival_quarter_cos,0.008654626
pricing_pressure_index,0.008520693
arrival_day_of_year,0.007362223
transient_displacement_cost,0.0071726544
tr_transient_revpar,0.0033162988
arrival_month_sin,0.003299276
revenue_volatility_60d,0.0032560292
rfp_volume_velocity_7_30d,0.0026377023
length_of_stay_category_enc,0.0026300547
days_to_next_quarter,0.002584376
avg_discount_nearby_60d,0.002425718
tr_transient_pace_30d,0.0022605497
days_to_peak_season,0.00218598
revenue_competition_7d,0.0020331212
booking_confidence_90d,0.0019592587
organization_industry_enc,0.0018491306
tr_transient_occ_of_available,0.0018084667
arrival_dow_sin,0.0018007776
revenue_intensity_deviation,0.0017580576
avg_discount_nearby_30d,0.0016957375
account_win_rate,0.0015863765
booking_pace_7_30d,0.0015731707
priority_win_prob_component,0.0015405254
revenue_competition_30d,0.0015344112
tr_transient_rooms_turned_away,0.001391115
demand_ema_30d,0.0013870334
avg_occupancy_30d,0.001326572
has_special_requirements,0.0013161652
tr_pace_index,0.0012887522
revenue_volatility_30d,0.0012604068
win_rate_ema_30d,0.0012546162
booking_confidence_30d,0.001253274
win_rate_90d,0.0011971546
win_rate_acceleration,0.0011453002
night_variance_pct,0.0011363435
win_rate_60d,0.001133247
revenue_quality_score,0.0011097488
confidence_ema_7d,0.0011075978
days_since_last_win,0.0011030765
tr_rooms_to_capacity,0.0010984571
win_rate_14d,0.0010825513
avg_competing_group_size_90d,0.001063963
room_revenue_ratio,0.0010341454
booking_confidence_7d,0.0010311452
rfp_volume_acceleration,0.0010269686
win_streak,0.0010158765
historical_demand_this_week,0.0010060831
room_night_demand_90d,0.0009894688
proposed_total_revenue,0.0009747272
days_since_last_segment_rfp,0.0009641933
avg_competing_group_size_14d,0.00094357185
win_rate_velocity_30_90d,0.0009183282
capacity_risk_score,0.0008963307
days_since_last_account_rfp,0.0008873933
num_fnb_types,0.0008784423
operational_complexity_score,0.0008780348
group_size_deviation,0.00085904275
decision_time_days,0.0008501857
avg_occupancy_7d,0.0008425078
occupancy_acceleration,0.00084168435
tr_pace_vs_prior_year,0.00083664473
pct_standard_rooms,0.0008176144
avg_competing_group_size_30d,0.0008078846
wedding_social_demand_30d,0.0007962889
Urgency_Index,0.0007915229
booking_confidence_14d,0.00076311093
arrival_clustering_score,0.00075765204
occupancy_velocity_30_90d,0.0007480115
account_avg_revenue,0.00074311066
inquiry_day_of_week,0.0007231446
revenue_acceleration,0.00072203
displacement_ema_30d,0.00072028197
budget_ratio,0.000718742
avg_occupancy_14d,0.00070311583
win_rate_7d,0.00069691526
Rooms_Available_Peak_Date,0.0006934879
win_rate_ema_90d,0.000689339
lead_source_encoded,0.00068871543
client_priority_cvent_enc,0.00068630255
avg_competing_group_size_7d,0.00068598264
revenue_ema_7d,0.00068525696
avg_displacement_30d,0.0006847167
confident_expected_pickup,0.0006765128
room_night_demand_7d,0.0006755451
avg_revenue_intensity_14d,0.00067543774
displacement_ema_7d,0.00066254835
Rooms_Per_Attendee,0.00065613125
inquiry_day_of_year,0.0006515329
lead_source_enc,0.00065150997
revenue_volatility_90d,0.0006443595
tr_adr_index,0.00064321124
booking_pace_rooms_per_day,0.00064265006
displacement_acceleration,0.0006405813
avg_competing_group_size_60d,0.00063661014
lead_time_deviation,0.00063338457
win_rate_ema_7d,0.0006319743
event_format_enc,0.0006298386
avg_revenue_intensity_7d,0.00062955363
decision_days_cvent,0.00061672664
demand_ema_7d,0.0006156534
suite_rate,0.0006042319
win_rate_momentum,0.00059383974
min_room_rate,0.0005857843
Account_Prior_Revenue,0.0005763899
tactical_compression_opportunity,0.00057234516
booking_confidence_60d,0.000568963
market_seg_Finance,0.0005665901
revenue_competition_14d,0.00056596636
revenue_ema_30d,0.00055629894
win_rate_30d,0.0005468509
revenue_velocity_30_90d,0.00054258987
meeting_ratio,0.00054223364
displacement_velocity_30_90d,0.00052718696
avg_displacement_14d,0.0005031478
rfp_count_90d,0.0004997257
response_due_days,0.00049004494
rfp_count_7d,0.0004869532
avg_displacement_60d,0.00048464167
meeting_space_constraint,0.00047630933
market_segment_encoded,0.00043544717
win_rate_volatility_60d,0.00041674872
max_av_level,0.00041556178
destinations_considered,0.0004047204
Meeting_Space_Ratio,0.00040295298
avg_displacement_7d,0.0003927796
attendees,0.00037692089
competing_rfps_same_week_segment,0.00035968758
budget_amount,0.0003429817
num_meeting_rooms,0.00033460284
pattern_complexity,0.00033454725
projected_occupancy_with_group,0.0003237466
inquiry_month_cos,0.00029114043
days_since_last_rfp,0.0002837652
arrival_dow_cos,0.00028302395
arrival_week_enc,0.000261279
corporate_demand_30d,0.00024390883
market_seg_Technology,0.00023222069
inquiry_dow_sin,0.00019711518
Account_Prior_Events,0.00018757913
tr_displacement_pressure,0.00017730964
Flag_Short_Response_Window,0.00013806418
pickup_momentum,5.5392436e-05
Flag_High_Displacement,4.398632e-05
Completeness_Score,3.890906e-05
inquiry_month_sin,0.0
Is_First_Time_Account,0.0
uses_ballroom,0.0
uses_boardroom,0.0
market_seg_Healthcare,0.0
Has_Prior_Decline,0.0
market_seg_Legal,0.0
Flag_Rate_Below_Baseline,0.0
market_seg_Other,0.0
event_format_encoded,0.0
Flag_Date_Conflict,0.0
market_seg_Professional Services,0.0
client_priority,0.0
market_seg_SMERF,0.0
market_seg_Social,0.0
market_seg_Trade/Manufacturing,0.0
event_configuration_enc,0.0
has_dinner,0.0
full_day_pct,0.0
is_cold_streak,0.0
is_hot_streak,0.0
revenue_momentum,0.0
rfp_volume_momentum,0.0
inquiry_dow_cos,0.0
historical_demand_this_quarter,0.0
segment_avg_revenue_intensity,0.0
segment_pickup_reliability,0.0
smerf_demand_30d,0.0
booking_window_enc,0.0
surrounded_by_high_value,0.0
market_seg_Association,0.0
total_meeting_hours,0.0
has_reception,0.0
market_seg_Education,0.0
market_seg_Government,0.0
has_premium_av,0.0
has_evening_session,0.0
market_seg_Travel,0.0
