kept,dropped,correlation
attendees,room_block,0.9852
attendees,group_size_intensity,0.9852
attendees,group_size_tier_clean_enc,0.8864
attendees,total_room_nights,0.9852
night_variance_pct,nights,0.8531
on_books_occupancy_pct,remaining_inventory_pct,1.0
projected_occupancy_with_group,on_books_occupancy_pct,0.9219
booking_pace_rooms_per_day,urgency_indicator,0.8521
lead_time_days,segment_avg_lead_time,0.8823
lead_time_days,demand_density_14d,0.8773
room_night_demand_14d,lead_time_days,0.8631
tr_transient_adr,baseline_adr,0.9688
transient_displacement_cost,opportunity_cost_ratio,0.9637
rate_discount_pct,displacement_ratio,0.9224
forecasted_occupancy,compression_indicator,0.9445
forecasted_occupancy,tr_total_occupancy_pct,1.0
tr_rooms_to_capacity,forecasted_occupancy,1.0
rate_discount_pct,displacement_occupancy_risk,0.9008
rate_discount_pct,priority_displacement_component,0.9374
priority_win_prob_component,segment_win_rate,1.0
segment_expected_pickup,priority_pickup_component,1.0
confident_expected_pickup,segment_expected_pickup,0.9895
days_since_last_account_rfp,is_repeat_client,0.9813
Account_Prior_Events,account_booking_count,0.9745
account_win_rate,priority_loyalty_component,1.0
projected_occupancy_with_group,capacity_utilization_pct,1.0
operational_complexity_score,priority_strategic_component,0.9113
arrival_day_of_week,is_weekend_arrival,0.868
arrival_month,arrival_quarter,0.9677
arrival_week_of_year,arrival_month,0.9775
historical_demand_this_month,is_peak_season,0.8762
inquiry_year,arrival_year,0.853
arrival_week_enc,inquiry_year,0.9039
revenue_quality_score,revenue_intensity,0.9791
revenue_quality_score,priority_revenue_component,0.9259
revenue_quality_score,priority_score_v2,0.8679
revenue_quality_score,expected_value,0.8686
revenue_quality_score,risk_adjusted_revenue,0.9147
revenue_quality_score,Revenue_Per_Room_Night,0.9791
capacity_risk_score,capacity_pressure,0.9863
segment_avg_revenue_intensity,segment_avg_room_nights,0.9728
segment_avg_revenue_intensity,event_type_enc,0.9923
avg_revenue_intensity_7d,revenue_velocity_7_30d,0.894
win_rate_7d,win_rate_velocity_7_30d,0.8668
rfp_count_30d,rfp_count_14d,0.8704
rfp_count_60d,rfp_count_30d,0.9176
revenue_volatility_30d,avg_revenue_intensity_30d,0.9069
win_rate_30d,win_rate_volatility_30d,0.877
avg_displacement_30d,displacement_ema_90d,0.8714
avg_occupancy_30d,avg_occupancy_60d,0.9099
avg_occupancy_30d,avg_occupancy_90d,0.8504
rfp_count_90d,rfp_count_60d,0.9674
avg_revenue_intensity_60d,avg_revenue_intensity_90d,0.8621
revenue_volatility_60d,avg_revenue_intensity_60d,0.8854
avg_displacement_60d,avg_displacement_90d,0.9047
rfp_count_90d,rfp_volume_velocity_30_90d,0.9706
displacement_acceleration,displacement_velocity_7_30d,0.8615
occupancy_acceleration,occupancy_velocity_7_30d,0.9415
is_hot_streak,business_momentum_score,0.8698
historical_demand_this_quarter,arrival_quarter_sin,0.8834
arrival_day_of_year,arrival_week_of_year,0.98
inquiry_day_of_year,inquiry_week_of_year,0.986
days_to_next_quarter,days_from_quarter_start,1.0
revenue_ema_30d,revenue_ema_90d,0.8567
win_rate_volatility_60d,win_rate_volatility_90d,0.8868
room_night_demand_7d,demand_density_7d,0.8662
room_night_demand_7d,capacity_pressure_7d,1.0
room_night_demand_14d,demand_density_30d,0.8894
room_night_demand_30d,room_night_demand_14d,0.9283
room_night_demand_30d,demand_density_60d,0.9448
room_night_demand_60d,room_night_demand_30d,0.9664
booking_confidence_30d,arrival_win_rate_30d,1.0
room_night_demand_60d,demand_density_90d,0.9709
room_night_demand_90d,room_night_demand_60d,0.9888
booking_confidence_60d,arrival_win_rate_60d,1.0
room_night_demand_90d,capacity_pressure_14d,0.8932
room_night_demand_90d,capacity_pressure_30d,0.9577
room_night_demand_90d,demand_momentum_7_30d,0.9432
room_night_demand_90d,demand_momentum_30_90d,0.9709
room_night_demand_90d,market_heat_index_30d,0.9375
room_night_demand_90d,association_demand_30d,0.8754
booking_confidence_90d,arrival_win_rate_90d,1.0
demand_ema_30d,demand_ema_90d,0.9095
confidence_ema_7d,confidence_ema_30d,0.8991
proposed_total_revenue,total_room_nights_requested,0.9413
budget_ratio,budget_provided,0.9466
has_meeting_space,has_fnb_requirements,1.0
avg_room_utilization,has_meeting_space,0.8912
num_room_types,has_suites,0.8578
rate_spread,num_room_types,0.9108
pct_standard_rooms,pct_premium_rooms,1.0
max_room_rate,rate_spread,0.9882
min_room_rate,standard_rate,0.9964
suite_rate,max_room_rate,0.9203
total_meeting_hours,num_sessions,0.9151
event_configuration_enc,avg_room_utilization,0.8781
Rooms_Available_Peak_Date,tr_group_rooms_on_books,0.9347
Flag_High_Displacement,Displacement_Risk_Score,0.8881
Completeness_Score,Flag_Missing_Rate_Target,1.0
Account_Prior_Events,Account_Prior_Booked,0.987
tr_transient_adr,tr_market_adr,0.9741
tr_transient_adr,tr_displacement_cost_per_room,1.0
tr_rooms_to_capacity,tr_transient_yield_pct,0.9714
tr_rooms_to_capacity,tr_market_occ_pct,0.9955
tr_demand_tier,tr_demand_tier_3,0.8669
tr_demand_tier,tr_rate_strategy,0.8613
