feature,vif
historical_demand_this_month,7.708737645999486
is_peak_arrival,6.212015377881219
tr_transient_adr,5.707828354926608
arrival_month_sin,4.8419460902071725
rate_discount_pct,4.387592124902658
days_to_peak_season,4.315128645967663
is_shoulder_season,4.193681422282666
avg_discount_nearby_60d,3.9651178267888723
avg_discount_nearby_30d,3.959592325639469
tr_demand_tier,3.870232046659772
win_rate_90d,3.7613877235528532
win_rate_60d,3.751158849046225
revenue_intensity_deviation,3.641994590255044
arrival_quarter_cos,3.438216701062696
confidence_ema_7d,3.3162987980775633
booking_confidence_30d,3.3151700209212325
win_rate_ema_30d,3.2084843849096827
transient_displacement_cost,3.2081769826012816
revenue_competition_30d,3.2022425189115356
proposed_total_revenue,3.1885018297965715
room_revenue_ratio,3.098164535592909
demand_ema_30d,2.76827790631987
win_rate_14d,2.7535766788894938
room_night_demand_90d,2.6104158573549237
arrival_dow_sin,2.568930903688209
arrival_day_of_week,2.5420381611709884
tr_rooms_to_capacity,2.4358369770123125
tr_transient_pace_30d,2.344488276375734
rfp_volume_velocity_7_30d,2.2421069836328
revenue_volatility_60d,2.190333472629042
tr_transient_revpar,2.094163965204207
days_since_last_win,2.060582849599727
avg_occupancy_30d,2.040607683486319
revenue_volatility_30d,2.0207776861896263
rfp_volume_acceleration,1.975979072478267
historical_demand_this_week,1.9526765442298701
tr_transient_occ_of_available,1.9104007118729454
pricing_pressure_index,1.8289909601215857
night_variance_pct,1.7513650010443766
booking_confidence_90d,1.7211109706136904
Is_Compression_Date,1.7117049179247903
days_to_next_quarter,1.5689923224975972
organization_industry_enc,1.5323885798957984
days_since_last_segment_rfp,1.494609301336065
revenue_competition_7d,1.46622905345925
tr_pace_index,1.2825349701544841
avg_competing_group_size_90d,1.253626115875238
win_streak,1.2530461051348254
win_rate_acceleration,1.2478552200442927
account_win_rate,1.2391662046834855
booking_pace_7_30d,1.1282099846435056
priority_win_prob_component,1.0924347679021735
length_of_stay_category_enc,1.078934633562491
has_special_requirements,1.0614298263800068
