GEOID,checkpoint_year,median_income,child_poverty_pct,income_definition
0100001,2013,54189.0,5.9,"median family income, families with own children under 18 (B19125_002E)"
0100003,2013,74500.0,4.3,"median family income, families with own children under 18 (B19125_002E)"
0100005,2013,36611.0,42.5,"median family income, families with own children under 18 (B19125_002E)"
0100006,2013,48439.0,25.8,"median family income, families with own children under 18 (B19125_002E)"
0100007,2013,98600.0,9.2,"median family income, families with own children under 18 (B19125_002E)"
0100008,2013,110297.0,7.6,"median family income, families with own children under 18 (B19125_002E)"
0100011,2013,52167.0,27.8,"median family income, families with own children under 18 (B19125_002E)"
0100012,2013,35405.0,21.5,"median family income, families with own children under 18 (B19125_002E)"
0100013,2013,93594.0,4.1,"median family income, families with own children under 18 (B19125_002E)"
0100030,2013,28359.0,43.5,"median family income, families with own children under 18 (B19125_002E)"
0100060,2013,31477.0,36.8,"median family income, families with own children under 18 (B19125_002E)"
0100090,2013,29056.0,45.0,"median family income, families with own children under 18 (B19125_002E)"
0100100,2013,52976.0,17.1,"median family income, families with own children under 18 (B19125_002E)"
0100120,2013,54163.0,20.3,"median family income, families with own children under 18 (B19125_002E)"
0100180,2013,41439.0,22.0,"median family income, families with own children under 18 (B19125_002E)"
0100185,2013,57518.0,23.5,"median family income, families with own children under 18 (B19125_002E)"
0100210,2013,78598.0,15.4,"median family income, families with own children under 18 (B19125_002E)"
0100240,2013,64958.0,17.5,"median family income, families with own children under 18 (B19125_002E)"
0100270,2013,55362.0,21.3,"median family income, families with own children under 18 (B19125_002E)"
0100300,2013,34052.0,44.0,"median family income, families with own children under 18 (B19125_002E)"
0100330,2013,25625.0,51.9,"median family income, families with own children under 18 (B19125_002E)"
0100360,2013,40684.0,30.8,"median family income, families with own children under 18 (B19125_002E)"
0100390,2013,26931.0,46.9,"median family income, families with own children under 18 (B19125_002E)"
0100420,2013,54387.0,23.8,"median family income, families with own children under 18 (B19125_002E)"
0100450,2013,29275.0,33.9,"median family income, families with own children under 18 (B19125_002E)"
0100480,2013,49167.0,31.9,"median family income, families with own children under 18 (B19125_002E)"
0100510,2013,31081.0,41.8,"median family income, families with own children under 18 (B19125_002E)"
0100540,2013,50930.0,23.4,"median family income, families with own children under 18 (B19125_002E)"
0100600,2013,38295.0,36.0,"median family income, families with own children under 18 (B19125_002E)"
0100630,2013,46875.0,35.3,"median family income, families with own children under 18 (B19125_002E)"
0100660,2013,44126.0,31.8,"median family income, families with own children under 18 (B19125_002E)"
0100690,2013,47398.0,31.0,"median family income, families with own children under 18 (B19125_002E)"
0100720,2013,42016.0,43.2,"median family income, families with own children under 18 (B19125_002E)"
0100750,2013,33909.0,21.4,"median family income, families with own children under 18 (B19125_002E)"
0100780,2013,48250.0,30.3,"median family income, families with own children under 18 (B19125_002E)"
0100810,2013,52344.0,25.0,"median family income, families with own children under 18 (B19125_002E)"
0100840,2013,40425.0,30.0,"median family income, families with own children under 18 (B19125_002E)"
0100870,2013,35677.0,43.7,"median family income, families with own children under 18 (B19125_002E)"
0100900,2013,39929.0,30.4,"median family income, families with own children under 18 (B19125_002E)"
0100930,2013,43976.0,22.4,"median family income, families with own children under 18 (B19125_002E)"
0100960,2013,49588.0,24.8,"median family income, families with own children under 18 (B19125_002E)"
0100990,2013,43375.0,32.7,"median family income, families with own children under 18 (B19125_002E)"
0101020,2013,43699.0,24.3,"median family income, families with own children under 18 (B19125_002E)"
0101050,2013,60861.0,22.3,"median family income, families with own children under 18 (B19125_002E)"
0101080,2013,31648.0,34.5,"median family income, families with own children under 18 (B19125_002E)"
0101110,2013,36366.0,48.0,"median family income, families with own children under 18 (B19125_002E)"
0101140,2013,46368.0,28.4,"median family income, families with own children under 18 (B19125_002E)"
0101170,2013,40042.0,35.5,"median family income, families with own children under 18 (B19125_002E)"
0101200,2013,34531.0,38.1,"median family income, families with own children under 18 (B19125_002E)"
0101230,2013,46268.0,29.9,"median family income, families with own children under 18 (B19125_002E)"
0101260,2013,21786.0,48.5,"median family income, families with own children under 18 (B19125_002E)"
0101290,2013,63799.0,21.4,"median family income, families with own children under 18 (B19125_002E)"
0101320,2013,52475.0,28.2,"median family income, families with own children under 18 (B19125_002E)"
0101350,2013,30998.0,37.9,"median family income, families with own children under 18 (B19125_002E)"
0101380,2013,54578.0,16.3,"median family income, families with own children under 18 (B19125_002E)"
0101410,2013,36250.0,44.2,"median family income, families with own children under 18 (B19125_002E)"
0101440,2013,27035.0,38.6,"median family income, families with own children under 18 (B19125_002E)"
0101470,2013,42554.0,27.6,"median family income, families with own children under 18 (B19125_002E)"
0101530,2013,39643.0,36.1,"median family income, families with own children under 18 (B19125_002E)"
0101560,2013,36801.0,39.1,"median family income, families with own children under 18 (B19125_002E)"
0101590,2013,47235.0,26.0,"median family income, families with own children under 18 (B19125_002E)"
0101620,2013,24814.0,47.1,"median family income, families with own children under 18 (B19125_002E)"
0101640,2013,41723.0,36.2,"median family income, families with own children under 18 (B19125_002E)"
0101660,2013,43313.0,32.0,"median family income, families with own children under 18 (B19125_002E)"
0101680,2013,19156.0,56.0,"median family income, families with own children under 18 (B19125_002E)"
